,0,1
14,14,"0.030*""security"" + 0.029*""smart"" + 0.026*""iot"" + 0.023*""user"" + 0.023*""internet"" + 0.019*""thing"" + 0.016*""architecture"" + 0.015*""mobile"" + 0.014*""blockchain"" + 0.013*""attack"""
15,15,"0.044*""power"" + 0.038*""grid"" + 0.037*""voltage"" + 0.026*""inverter"" + 0.017*""circuit"" + 0.017*""state"" + 0.015*""temperature"" + 0.014*""electric"" + 0.013*""module"" + 0.012*""connected"""
16,16,"0.021*""adsorption"" + 0.017*""al"" + 0.016*""hydrogen"" + 0.015*""aln"" + 0.015*""pb"" + 0.015*""spectroscopy"" + 0.011*""ray"" + 0.011*""surface"" + 0.010*""electron"" + 0.010*""interface"""
17,17,"0.044*""alloy"" + 0.030*""powder"" + 0.025*""oxide"" + 0.022*""temperature"" + 0.019*""particle"" + 0.017*""ni"" + 0.017*""mechanical"" + 0.015*""ti"" + 0.015*""mo"" + 0.014*""al"""
18,18,"0.033*""crack"" + 0.030*""pipe"" + 0.019*""algorithm"" + 0.014*""mimo"" + 0.011*""fracture"" + 0.009*""fe"" + 0.008*""water"" + 0.008*""hap"" + 0.008*""limit"" + 0.007*""balancing"""
19,19,"0.042*""steel"" + 0.039*""strength"" + 0.031*""strain"" + 0.024*""specimen"" + 0.021*""tensile"" + 0.020*""material"" + 0.018*""temperature"" + 0.016*""mechanical"" + 0.015*""property"" + 0.011*""effect"""
20,20,"0.021*""slab"" + 0.021*""fiber"" + 0.018*""jet"" + 0.013*""mass"" + 0.009*""dna"" + 0.009*""genome"" + 0.009*""health"" + 0.008*""nannan"" + 0.007*""earnings"" + 0.007*""cp"""
21,21,"0.021*""effect"" + 0.017*""electrode"" + 0.014*""textile"" + 0.014*""resistance"" + 0.013*""hfo"" + 0.012*""inflammatory"" + 0.012*""bending"" + 0.010*""stretchable"" + 0.009*""conductive"" + 0.008*""screen"""
22,22,"0.038*""rainfall"" + 0.033*""climate"" + 0.025*""water"" + 0.022*""precipitation"" + 0.017*""temperature"" + 0.014*""gcms"" + 0.010*""ensemble"" + 0.010*""circulation"" + 0.010*""projection"" + 0.009*""clo"""
23,23,"0.043*""antenna"" + 0.027*""power"" + 0.027*""dc"" + 0.024*""converter"" + 0.016*""voltage"" + 0.012*""band"" + 0.010*""wireless"" + 0.009*""switching"" + 0.009*""signal"" + 0.008*""wave"""
24,24,"0.051*""cu"" + 0.019*""sensor"" + 0.019*""bonding"" + 0.016*""chemosensor"" + 0.015*""copper"" + 0.015*""ion"" + 0.015*""water"" + 0.014*""surface"" + 0.012*""fluorescence"" + 0.012*""colorimetric"""
25,25,"0.030*""carbon"" + 0.028*""battery"" + 0.025*""electrochemical"" + 0.017*""redox"" + 0.017*""electrolyte"" + 0.017*""ion"" + 0.015*""lithium"" + 0.015*""electrode"" + 0.015*""material"" + 0.014*""membrane"""
26,26,"0.032*""track"" + 0.028*""railway"" + 0.016*""rail"" + 0.016*""optimization"" + 0.015*""train"" + 0.014*""bridge"" + 0.012*""stiffness"" + 0.012*""speed"" + 0.011*""line"" + 0.011*""girder"""
27,27,"0.042*""cell"" + 0.020*""acid"" + 0.020*""effect"" + 0.011*""fuel"" + 0.009*""microbial"" + 0.009*""ethanol"" + 0.009*""ethyl"" + 0.009*""antimicrobial"" + 0.009*""oxygen"" + 0.008*""acetate"""
28,28,"0.027*""memory"" + 0.025*""buffer"" + 0.022*""television"" + 0.020*""tv"" + 0.018*""path"" + 0.017*""uhf"" + 0.015*""nand"" + 0.014*""write"" + 0.013*""tail"" + 0.012*""flash"""
29,29,"0.037*""catalyst"" + 0.025*""glucose"" + 0.020*""fuel"" + 0.018*""cnt"" + 0.017*""gox"" + 0.016*""nanotube"" + 0.013*""catalytic"" + 0.013*""cell"" + 0.011*""injection"" + 0.011*""carbon"""
