Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
An integral equation approach to the irreversible investment problem with a finite horizon,An integral equation approach to the irreversible investment problem with a finite horizon,,429,324.472845,4,0.578817,0.668671,0.000288,3
Effect of the Energy Level and the Carrier Mobility of the Hole Extraction Layer on the Performance of Planar-mixed Heterojunction Organic Solar Cells,Effect of the Energy Level and the Carrier Mobility of the Hole Extraction Layer on the Performance of Planar-mixed Heterojunction Organic Solar Cells,,478,362.51602,4,0.595396,0.69065,0.001883,3
Waterproofing performance grade proposal through standard test result comparison of self adhesive rubberized asphalt sheet,Waterproofing performance grade proposal through standard test result comparison of self adhesive rubberized asphalt sheet,,384,289.42498,4,0.561505,0.646907,0.000104,3
Instant and Accurate Instance Segmentation Equipped with Path Aggregation and Attention Gate,Instant and Accurate Instance Segmentation Equipped with Path Aggregation and Attention Gate,,470,356.94531,4,0.592668,0.687142,0.00177,3
Mixture of Deterministic and Stochastic Quantization Schemes for Lightweight CNN,Mixture of Deterministic and Stochastic Quantization Schemes for Lightweight CNN,,777,629.26553,4,0.732997,0.82868,0.004534,1
Isolated High Step-Up Dual-Flyback DC–DC Converter with a Resonant Voltage Multiplier,Isolated High Step-Up Dual-Flyback DC–DC Converter with a Resonant Voltage Multiplier,,787,634.964495,4,0.740929,0.833978,0.003689,1
Nine watt – Level aqueous organic redox flow battery stack using anthraquinone and vanadium as redox couple,Nine watt – Level aqueous organic redox flow battery stack using anthraquinone and vanadium as redox couple,,624,486.762991,4,0.65949,0.759593,0.001058,3
Analysis of AMI communication methods in various field environments,Analysis of AMI communication methods in various field environments,,685,540.61677,4,0.687131,0.787228,0.001157,3
Effect of formwork removal time reduction on construction productivity improvement by mix design of early strength concrete,Effect of formwork removal time reduction on construction productivity improvement by mix design of early strength concrete,,703,557.360222,4,0.69327,0.79453,0.001192,1
Dynamic response analysis of multi-layered core sandwich structures for protection against underwater explosion,Dynamic response analysis of multi-layered core sandwich structures for protection against underwater explosion,,599,463.647814,4,0.649916,0.748711,0.003311,3
Effect of nb addition and pre-strain on hydrogen embrittlement of low-carbon steels with ferrite-pearlite structure,Effect of nb addition and pre-strain on hydrogen embrittlement of low-carbon steels with ferrite-pearlite structure,,495,375.391995,4,0.605934,0.700458,0.00021,3
Improvement in accuracy of a multi-joint robotic ultrasonic inspection system for the integrity of composite structures,Improvement in accuracy of a multi-joint robotic ultrasonic inspection system for the integrity of composite structures,,738,587.204078,4,0.713235,0.811211,0.001966,1
Public perspective on constructing sea forests as a public good: A contingent valuation experiment in South Korea,Public perspective on constructing sea forests as a public good: A contingent valuation experiment in South Korea,,450,342.216698,4,0.589069,0.679625,0.000226,3
A thiourea-based fluorescent chemosensor for bioimaging hypochlorite,A thiourea-based fluorescent chemosensor for bioimaging hypochlorite,,652,511.052064,4,0.673222,0.772695,0.000888,3
A 3D-printed metal column for micro gas chromatography,A 3D-printed metal column for micro gas chromatography,,761,608.187877,4,0.723881,0.821306,0.003685,1
Simultaneous hydrogen production and pollutant degradation by photocatalysis of wastewater using liquid phase plasma,Simultaneous hydrogen production and pollutant degradation by photocatalysis of wastewater using liquid phase plasma,,482,368.26282,4,0.600309,0.694086,0.000242,3
Bag of Tricks for Electrocardiogram Classification with Deep Neural Networks,Bag of Tricks for Electrocardiogram Classification with Deep Neural Networks,,798,646.192553,4,0.744246,0.83813,0.003776,1
PVHybNet: A hybrid framework for predicting photovoltaic power generation using both weather forecast and observation data,PVHybNet: A hybrid framework for predicting photovoltaic power generation using both weather forecast and observation data,,718,572.180946,4,0.702051,0.801833,0.001699,1
Graphene oxide coated silver nanofiber transparent conducting electrode,Graphene oxide coated silver nanofiber transparent conducting electrode,,715,570.19505,4,0.702051,0.800974,0.001535,1
Assessment of strength development at hardened stage on high-strength concrete using NDT,Assessment of strength development at hardened stage on high-strength concrete using NDT,,727,578.88343,4,0.70674,0.805914,0.002698,1
Infrared assisted freeze-drying (IRAFD) to produce shelf-stable insect food from protaetia brevitarsis (white-spotted flower chafer) Larva,Infrared assisted freeze-drying (IRAFD) to produce shelf-stable insect food from protaetia brevitarsis (white-spotted flower chafer) Larva,,675,530.907836,4,0.685109,0.783648,0.001463,3
Uncertainty analysis of monthly precipitation in GCMs using multiple bias correction methods under different RCPs,Uncertainty analysis of monthly precipitation in GCMs using multiple bias correction methods under different RCPs,,674,528.758065,4,0.683099,0.782646,0.001137,3
Tourist attraction and points of interest (POIs) using search engine data: Case of seoul,Tourist attraction and points of interest (POIs) using search engine data: Case of seoul,,754,604.982824,4,0.72119,0.818442,0.002346,1
A study of waterproof reinforcement layers for the post-cracking behavior of fiber reinforced concrete,A study of waterproof reinforcement layers for the post-cracking behavior of fiber reinforced concrete,,215,157.829767,4,0.50719,0.566939,0.000051,1
Urban Flooding in the Northern Part of Kabul City: Causes and Mitigation,Urban Flooding in the Northern Part of Kabul City: Causes and Mitigation,,635,495.531802,4,0.664005,0.764462,0.000988,3
A deep learning-based IoT-oriented infrastructure for secure smart City,A deep learning-based IoT-oriented infrastructure for secure smart City,,743,591.10847,4,0.714988,0.813288,0.002971,1
Atomic-layer-deposited SnO2on Pt/C prevents sintering of Pt nanoparticles and affects the reaction chemistry for the electrocatalytic glycerol oxidation reaction,Atomic-layer-deposited SnO2on Pt/C prevents sintering of Pt nanoparticles and affects the reaction chemistry for the electrocatalytic glycerol oxidation reaction,,468,355.629491,4,0.590863,0.68571,0.000708,3
"The fruit of acanthopanax senticosus harms improves arterial stiffness and blood pressure: A randomized, placebo-controlled trial","The fruit of acanthopanax senticosus harms improves arterial stiffness and blood pressure: A randomized, placebo-controlled trial",,349,262.788798,4,0.550876,0.631229,0.000112,3
Design of an enhanced web archiving system for preserving content integrity with blockchain,Design of an enhanced web archiving system for preserving content integrity with blockchain,,581,447.817889,4,0.64203,0.740407,0.000513,3
Machine learning-based network sub-slicing framework in a sustainable 5G environment,Machine learning-based network sub-slicing framework in a sustainable 5G environment,,797,645.491506,4,0.74377,0.8377,0.004185,1
Scalable and high-throughput top-down manufacturing of optical metasurfaces,Scalable and high-throughput top-down manufacturing of optical metasurfaces,,513,393.884225,4,0.612632,0.708548,0.00032,3
A pyrene-mercapto-based probe for detecting Ag+ by fluorescence turn-on,A pyrene-mercapto-based probe for detecting Ag+ by fluorescence turn-on,,635,495.215109,4,0.663248,0.764175,0.000765,3
3D printable and injectable lactoferrin-loaded carboxymethyl cellulose-glycol chitosan hydrogels for tissue engineering applications,3D printable and injectable lactoferrin-loaded carboxymethyl cellulose-glycol chitosan hydrogels for tissue engineering applications,,646,504.883799,4,0.670507,0.770046,0.001162,3
"Highly efficient photocatalytic methylene blue degradation over Sn(O,S)/TiO2 photocatalyst fabricated via powder atomic layer deposition of SnO and subsequent sulfurization","Highly efficient photocatalytic methylene blue degradation over Sn(O,S)/TiO2 photocatalyst fabricated via powder atomic layer deposition of SnO and subsequent sulfurization",,705,557.630018,4,0.697424,0.796535,0.001452,1
Rare-earth ions integrated silica nanoparticles derived from rice husk via microwave-assisted combustion method for bioimaging applications,Rare-earth ions integrated silica nanoparticles derived from rice husk via microwave-assisted combustion method for bioimaging applications,,604,468.257885,4,0.648829,0.749714,0.001728,3
"Sociocultural influences, drive for thinness, drive for muscularity, and body dissatisfaction among Korean undergraduates","Sociocultural influences, drive for thinness, drive for muscularity, and body dissatisfaction among Korean undergraduates",,796,646.760545,4,0.745676,0.837987,0.004309,1
Prediction of static modulus and compressive strength of concrete from dynamic modulus associated with wave velocity and resonance frequency using machine learning techniques,Prediction of static modulus and compressive strength of concrete from dynamic modulus associated with wave velocity and resonance frequency using machine learning techniques,,446,338.011454,4,0.590264,0.678909,0.002973,3
Development of motion platform-based exercise equipment for rehabilitation training and posture balance,Development of motion platform-based exercise equipment for rehabilitation training and posture balance,,784,633.189456,4,0.736709,0.831901,0.003926,1
Effect of Normal Forces on the Electrical Endurance of Tin-Plated Contacts under Elevated Temperature Fretting Conditions,Effect of Normal Forces on the Electrical Endurance of Tin-Plated Contacts under Elevated Temperature Fretting Conditions,,693,549.304678,4,0.690391,0.790664,0.001401,3
Intellino: Processor for embedded artificial intelligence,Intellino: Processor for embedded artificial intelligence,,358,267.545182,4,0.551136,0.634092,0.000683,3
Performance of PMTs for the JSNS2experiment,Performance of PMTs for the JSNS2experiment,,714,566.432119,4,0.702899,0.800974,0.001733,1
Effect of damage evaluation method and cyclic hardening models on strain-based fatigue assessment to a piping system under seismic loads,Effect of damage evaluation method and cyclic hardening models on strain-based fatigue assessment to a piping system under seismic loads,,259,192.443646,5,0.523617,0.589905,0.006153,1
An input-output analysis of the economic role and effects of the mining industry in South Korea,An input-output analysis of the economic role and effects of the mining industry in South Korea,,754,603.35411,4,0.72119,0.818371,0.002388,1
Comparison of Synthetic Neuronal Model Membrane Mimics in Amyloid Aggregation at Atomic Resolution,Comparison of Synthetic Neuronal Model Membrane Mimics in Amyloid Aggregation at Atomic Resolution,,481,367.161889,4,0.597229,0.692368,0.000836,3
Docking assessment algorithm for autonomous underwater vehicles,Docking assessment algorithm for autonomous underwater vehicles,,686,541.322216,4,0.685916,0.787085,0.00198,3
Facile fabrication of polyaniline films with hierarchical porous networks for enhanced electrochemical activity,Facile fabrication of polyaniline films with hierarchical porous networks for enhanced electrochemical activity,,767,616.546569,4,0.7275,0.82417,0.002824,1
Effects of two-step plasma treatment on Cu and SiO2 surfaces for 3D bonding applications,Effects of two-step plasma treatment on Cu and SiO2 surfaces for 3D bonding applications,,799,648.473804,4,0.746154,0.838989,0.003861,1
Development of CMOS-Compatible Low Temperature Cu Bonding Optimized by the Response Surface Methodology,Development of CMOS-Compatible Low Temperature Cu Bonding Optimized by the Response Surface Methodology,,399,300.711241,4,0.565873,0.653565,0.000067,3
Fabrication and properties of densified tungsten by magnetic pulse compaction and spark plasma sintering,Fabrication and properties of densified tungsten by magnetic pulse compaction and spark plasma sintering,,632,492.230531,4,0.661364,0.7626,0.000656,3
"Advanced in algorithms, security, and systems for ICT convergence","Advanced in algorithms, security, and systems for ICT convergence",,643,504.327222,4,0.666285,0.767683,0.000803,3
Toward high recovery and selective leaching of zinc from electric arc furnace dust with different physicochemical properties,Toward high recovery and selective leaching of zinc from electric arc furnace dust with different physicochemical properties,,708,562.25508,4,0.695341,0.796678,0.002559,1
What value does the public put on managing and protecting an endangered marine species? The case of the finless porpoise in South Korea,What value does the public put on managing and protecting an endangered marine species? The case of the finless porpoise in South Korea,,497,378.502529,4,0.604048,0.7001,0.000151,3
A novel procedure of total organic carbon analysis for water samples containing suspended solids with alkaline extraction and homogeneity evaluation by turbidity,A novel procedure of total organic carbon analysis for water samples containing suspended solids with alkaline extraction and homogeneity evaluation by turbidity,,675,530.42916,4,0.683099,0.782932,0.001078,3
Comparison of electrical and interfacial characteristics between atomic-layer-deposited AlN and AlGaN on a GaN substrate,Comparison of electrical and interfacial characteristics between atomic-layer-deposited AlN and AlGaN on a GaN substrate,,800,650.42363,4,0.742821,0.838345,0.003755,1
Voltage Sensorless Control Scheme Based on Extended-State Estimator for a Grid-Connected Inverter,Voltage Sensorless Control Scheme Based on Extended-State Estimator for a Grid-Connected Inverter,,415,313.16037,4,0.573399,0.66187,0.00008,3
Low-concentration exposure to organochlorine pesticides (OCPs) in L6 myotubes and RIN-m5F pancreatic beta cells induces disorders of glucose metabolism,Low-concentration exposure to organochlorine pesticides (OCPs) in L6 myotubes and RIN-m5F pancreatic beta cells induces disorders of glucose metabolism,,653,511.764655,4,0.672444,0.772766,0.000954,3
All-Inkjet-Printed Flexible Nanobio-Devices with Efficient Electrochemical Coupling Using Amphiphilic Biomaterials,All-Inkjet-Printed Flexible Nanobio-Devices with Efficient Electrochemical Coupling Using Amphiphilic Biomaterials,,709,563.899618,4,0.699519,0.798396,0.001391,1
On the improvement of temperature uniformity and energy efficiency by auxiliary ducts for cooling air in a semi-low temperature warehouse,On the improvement of temperature uniformity and energy efficiency by auxiliary ducts for cooling air in a semi-low temperature warehouse,,232,170.979849,5,0.511648,0.574943,0.002962,1
Evaluating bioretention hydrology and nutrient removal for restoring wetland function at artificial rainfall,Evaluating bioretention hydrology and nutrient removal for restoring wetland function at artificial rainfall,,543,416.422587,4,0.62547,0.722723,0.000479,3
Complex Permittivity Measurement of Artificial Tissue Emulating Material Using Open-Ended Coaxial Probe,Complex Permittivity Measurement of Artificial Tissue Emulating Material Using Open-Ended Coaxial Probe,,655,513.32831,4,0.675566,0.774485,0.002188,3
Membraneless enzymatic biofuel cells using iron and cobalt co-doped ordered mesoporous porphyrinic carbon based catalyst,Membraneless enzymatic biofuel cells using iron and cobalt co-doped ordered mesoporous porphyrinic carbon based catalyst,,527,403.352246,4,0.61882,0.715349,0.000797,3
Shrinkage properties and microstructure of high volume ultrafine phosphorous slag blended cement mortars with superabsorbent polymer,Shrinkage properties and microstructure of high volume ultrafine phosphorous slag blended cement mortars with superabsorbent polymer,,664,522.126942,4,0.677532,0.777778,0.000935,3
Ohmic cooking of instant rice cake soup: energy efficiency and textural qualities,Ohmic cooking of instant rice cake soup: energy efficiency and textural qualities,,713,566.646416,4,0.702051,0.800401,0.002275,1
Automated classification of indoor environmental quality control using stacked ensembles based on electroencephalograms,Automated classification of indoor environmental quality control using stacked ensembles based on electroencephalograms,,725,578.71466,4,0.70674,0.805412,0.00254,1
Investigation of divergence tunnel excavation according to horizontal offsets between tunnels,Investigation of divergence tunnel excavation according to horizontal offsets between tunnels,,542,417.385587,4,0.623126,0.721506,0.000347,3
Abnormal Usage Sequence Detection for Identification of User Needs via Recurrent Neural Network Semantic Variational Autoencoder,Abnormal Usage Sequence Detection for Identification of User Needs via Recurrent Neural Network Semantic Variational Autoencoder,,545,418.829949,4,0.623126,0.722222,0.000255,3
Alkaline aqueous organic redox flow batteries of high energy and power densities using mixed naphthoquinone derivatives,Alkaline aqueous organic redox flow batteries of high energy and power densities using mixed naphthoquinone derivatives,,522,401.677131,4,0.614897,0.712056,0.000411,3
A modular A4 symmetric scotogenic model,A modular A4 symmetric scotogenic model,,786,635.755716,4,0.736243,0.832259,0.003139,1
Effect of the air duct system of a simplified vehicle model on aerodynamic performance,Effect of the air duct system of a simplified vehicle model on aerodynamic performance,,577,444.742782,4,0.638858,0.737973,0.002428,3
Evaluating the impact of turbulence closure models on solute transport simulations in meandering open channels,Evaluating the impact of turbulence closure models on solute transport simulations in meandering open channels,,553,424.668501,4,0.626817,0.726231,0.002203,3
Titanium dioxide nanoparticles dispersed in heteroatom-doped carbon nanofibers for ultrafast lithium storage,Titanium dioxide nanoparticles dispersed in heteroatom-doped carbon nanofibers for ultrafast lithium storage,,464,350.936412,4,0.590264,0.684207,0.000806,3
"Public acceptance of the ""renewable energy 3020 plan"": Evidence from a contingent valuation study in South Korea","Public acceptance of the ""renewable energy 3020 plan"": Evidence from a contingent valuation study in South Korea",,814,659.64093,4,0.753886,0.845576,0.005381,1
End-to-end deep learning architecture for continuous blood pressure estimation using attention mechanism,End-to-end deep learning architecture for continuous blood pressure estimation using attention mechanism,,763,614.231974,4,0.726592,0.822666,0.003588,1
Tobacco etch virus (TEV) protease with multiple mutations to improve solubility and reduce self-cleavage exhibits enhanced enzymatic activity,Tobacco etch virus (TEV) protease with multiple mutations to improve solubility and reduce self-cleavage exhibits enhanced enzymatic activity,,629,491.403024,4,0.661364,0.761741,0.000624,3
South Koreans’ perspective on assisting the power supply to North Korea: Evidence from a contingent valuation,South Koreans’ perspective on assisting the power supply to North Korea: Evidence from a contingent valuation,,666,524.422735,4,0.6811,0.779639,0.001148,3
External benefits of increasing bioethanol consumption: a choice experiment study,External benefits of increasing bioethanol consumption: a choice experiment study,,637,496.372362,4,0.663626,0.764891,0.001019,3
Inflow and outflow event mean concentration analysis of contaminants in bioretention facilities for non-point pollution management,Inflow and outflow event mean concentration analysis of contaminants in bioretention facilities for non-point pollution management,,97,71.218475,5,0.474134,0.510581,0.002168,1
A theory for scotogenic dark matter stabilised by residual gauge symmetry,A theory for scotogenic dark matter stabilised by residual gauge symmetry,,622,485.557436,4,0.656514,0.757947,0.000718,3
Decrepit building monitoring solution for zero energy building management using PLC and android application,Decrepit building monitoring solution for zero energy building management using PLC and android application,,547,420.142207,4,0.62547,0.72394,0.001375,3
Determination of Zinc Ion by a Quinoline-Based Fluorescence Chemosensor,Determination of Zinc Ion by a Quinoline-Based Fluorescence Chemosensor,,664,520.43853,4,0.677927,0.777921,0.001158,3
Enhanced Vertical Charge Transport of Homo- and Blended Semiconducting Polymers by Nanoconfinement,Enhanced Vertical Charge Transport of Homo- and Blended Semiconducting Polymers by Nanoconfinement,,521,401.073409,4,0.616525,0.712629,0.001175,3
Hylotelephium telephium Flower Extract-Mediated Biosynthesis of CuO and ZnO Nanoparticles with Promising Antioxidant and Antibacterial Properties for Healthcare Applications,Hylotelephium telephium Flower Extract-Mediated Biosynthesis of CuO and ZnO Nanoparticles with Promising Antioxidant and Antibacterial Properties for Healthcare Applications,,735,586.24513,4,0.708029,0.808706,0.002409,1
4D printing using anisotropic thermal deformation of 3D-printed thermoplastic parts,4D printing using anisotropic thermal deformation of 3D-printed thermoplastic parts,,665,521.907933,4,0.677532,0.778064,0.000925,3
Development and optimization of the laser-assisted bonding process for a flip chip package,Development and optimization of the laser-assisted bonding process for a flip chip package,,69,50.290648,5,0.46356,0.495003,0.000033,1
"Performance improvement by novel activation process effect of aqueous organic redox flow battery using Tiron and anthraquinone-2,7-disulfonic acid redox couple","Performance improvement by novel activation process effect of aqueous organic redox flow battery using Tiron and anthraquinone-2,7-disulfonic acid redox couple",,581,448.018871,4,0.640969,0.740049,0.00089,3
Image reconstruction for rotational modulation collimator (RMC) using non local means (NLM) denoising filter,Image reconstruction for rotational modulation collimator (RMC) using non local means (NLM) denoising filter,,782,629.944287,4,0.734385,0.830541,0.003602,1
Performance improvement of the glucose oxidation reactions using methyl red mediator,Performance improvement of the glucose oxidation reactions using methyl red mediator,,514,392.777102,4,0.612954,0.708906,0.00163,3
An analysis of the factors on the problem-solving competencies of engineering employees in Korea,An analysis of the factors on the problem-solving competencies of engineering employees in Korea,,792,640.800685,4,0.740929,0.83541,0.003962,1
"Effect of nano-montmorillonite on osteoblast differentiation, mineral density, and osteoclast differentiation in bone formation","Effect of nano-montmorillonite on osteoblast differentiation, mineral density, and osteoclast differentiation in bone formation",,732,582.941163,4,0.710189,0.808562,0.002105,1
Forced convection heat transfer for the fully-developed laminar flow of the cross fluid between parallel plates,Forced convection heat transfer for the fully-developed laminar flow of the cross fluid between parallel plates,,531,408.354474,4,0.617834,0.716065,0.000241,3
Task number maximization offloading strategy seamlessly adapted to UAV scenario,Task number maximization offloading strategy seamlessly adapted to UAV scenario,,838,686.824632,4,0.767304,0.856386,0.009548,1
Open innovation at the national level: Towards a global innovation system,Open innovation at the national level: Towards a global innovation system,,738,588.332597,4,0.713673,0.811426,0.001971,1
Multifunctional periodic mesoporous benzene-silicas for evaluation of CO2 adsorption at standard temperature and pressure,Multifunctional periodic mesoporous benzene-silicas for evaluation of CO2 adsorption at standard temperature and pressure,,423,318.999507,4,0.579104,0.667025,0.001836,3
Combined Inter-layer FEC and Hierarchical QAM for Stereoscopic 3D Video Transmission,Combined Inter-layer FEC and Hierarchical QAM for Stereoscopic 3D Video Transmission,,672,527.526348,4,0.680702,0.781214,0.001776,3
Simultaneous Detection of Cu2+ and Co2+ by a Water-Soluble Carboxamide-Based Colorimetric Chemosensor,Simultaneous Detection of Cu2+ and Co2+ by a Water-Soluble Carboxamide-Based Colorimetric Chemosensor,,615,477.888723,4,0.653199,0.754582,0.000563,3
"Wafer-Scale, Conformal, and Low-Temperature Synthesis of Layered Tin Disulfides for Emerging Nonplanar and Flexible Electronics","Wafer-Scale, Conformal, and Low-Temperature Synthesis of Layered Tin Disulfides for Emerging Nonplanar and Flexible Electronics",,256,189.101615,4,0.517563,0.585266,0.000015,1
The Effects of Managers’ Purposeful Performance Information Use on American Hospital Performance,The Effects of Managers’ Purposeful Performance Information Use on American Hospital Performance,,10,7.565507,5,0.375848,0.399413,0.000011,1
New insights into the real-time performance of a multicore processor,New insights into the real-time performance of a multicore processor,,736,587.193858,4,0.713235,0.81071,0.003145,1
Autonomous driving system design of solar panel cleaning robot using vacuum adsorption mechanism,Autonomous driving system design of solar panel cleaning robot using vacuum adsorption mechanism,,749,597.527938,4,0.719852,0.816581,0.002259,1
Characterization of indoor and outdoor exposure level to hazardous air pollutants at various living environments by canister sampling,Characterization of indoor and outdoor exposure level to hazardous air pollutants at various living environments by canister sampling,,719,570.791508,4,0.703323,0.802549,0.001789,1
Biases in Integer Partitions,Biases in Integer Partitions,,609,473.81719,4,0.652832,0.752792,0.000718,3
Binary particle acoustophoresis separation based on nodal position adjustment through PDMS wall,Binary particle acoustophoresis separation based on nodal position adjustment through PDMS wall,,721,577.363445,4,0.702899,0.802978,0.001767,1
A Quadratic Programming-Based Power Dispatch Method for a DC-Microgrid,A Quadratic Programming-Based Power Dispatch Method for a DC-Microgrid,,701,555.605983,4,0.69327,0.793958,0.002317,1
Post-quantum blockchain for a scalable smart city,Post-quantum blockchain for a scalable smart city,,719,568.932539,4,0.701627,0.801976,0.001534,1
Block5GIntell: Blockchain for AI-Enabled 5G Networks,Block5GIntell: Blockchain for AI-Enabled 5G Networks,,93,67.988753,5,0.469734,0.506214,0.000066,1
Trustful Resource Management for Service Allocation in Fog-Enabled Intelligent Transportation Systems,Trustful Resource Management for Service Allocation in Fog-Enabled Intelligent Transportation Systems,,596,462.735558,4,0.647026,0.746707,0.000682,3
Dynamic Early Dirty Buffer Flush to Reduce Miss Penalty in Solid-State Drives,Dynamic Early Dirty Buffer Flush to Reduce Miss Penalty in Solid-State Drives,,613,474.144705,4,0.652101,0.753723,0.000525,3
Facile Airbrush Fabrication of Gas Diffusion Layers Comprising Fine-Patterned Hydrophobic Double-Layer and Hydrophilic Channel for Improved Water Removal in Polymer Electrolyte Membrane Fuel Cells,Facile Airbrush Fabrication of Gas Diffusion Layers Comprising Fine-Patterned Hydrophobic Double-Layer and Hydrophilic Channel for Improved Water Removal in Polymer Electrolyte Membrane Fuel Cells,,740,593.567337,4,0.713235,0.811856,0.002125,1
Prosumer Energy Management Considering Contract with Consumers under Progressive Pricing Policy,Prosumer Energy Management Considering Contract with Consumers under Progressive Pricing Policy,,614,475.8713,4,0.655037,0.755011,0.000554,3
Additive Ensemble Neural Networks,Additive Ensemble Neural Networks,,600,465.588878,4,0.649554,0.748926,0.000583,3
Dilatometric analysis of the sintering behavior of Bi2Te3 thermoelectric powders,Dilatometric analysis of the sintering behavior of Bi2Te3 thermoelectric powders,,514,393.251342,4,0.614572,0.709622,0.000267,3
