,Title,modularity_class
28,Grid voltage estimation based on integral resonant current controller for LCL-filtered grid-connected inverter without AC voltage sensors,2
29,Performance evaluation of cementless composites with alkali-sulfate activator for field application,9
30,Cardiometabolic risk factor in obese and normal weight individuals in community dwelling men,22
31,Effect of injecting epoxy resin adhesive into cement mortar on tile adhesion performance,13
32,Analysis of age-based bone mineral density in the korean adult population using dual-energy X-ray absorptiometry,22
33,Motion-aware interplay between wigig and wifi for wireless virtual reality,4
34,Volatility in rainfall and predictability of droughts in northwest Bangladesh,17
35,A statistical approach to controlling the size of aluminum nanoparticles synthesized by pulsed laser ablation in liquid,8
36,Dielectrophoretic Manipulation of Janus Particle in Conductive Media for Biomedical Applications,21
37,Autochain platform: expert automatic algorithm Blockchain technology for house rental dApp image application model,15
38,Oxidation Behavior of Pack-Cemented Refractory High-Entropy Alloy,9
39,Public preference toward an energy transition policy: the case of South Korea,5
40,HANMRE - An authenticated encryption secure against side-channel attacks for nonce-misuse and lightweight approaches,15
41,MEMS particle sensor based on resonant frequency shifting,21
42,Impedance study on humidity dependent conductivity of polymer composites with conductive nanofillers,8
43,A Thiourea-Containing Fluorescent Chemosensor for Detecting Ga3+,34
44,Identification of promising inventions considering the quality of knowledge accumulation: a machine learning approach,34
45,Design of Repetitive Control Systems Using a Delayed Control Input and a State Error,2
46,A colorimetric chemosensor for selective detection of copper ions,21
47,Study and Evaluation of the Potential of Lipid Nanocarriers for Transdermal Delivery of siRNA,22
48,Atomic Layer Deposition of AlN Thin Films on GaN and Electrical Properties in AlN/GaN Heterojunction Diodes,21
49,Prevention of Ostwald ripening in orange oil emulsions: Impact of surfactant type and Ostwald ripening inhibitor type,22
50,"Estimation of daily intake of lycopene, antioxidant contents and activities from tomatoes, watermelons, and their processed products in Korea",22
51,Efficient isoparametric trimmed-hexahedral elements with explicit shape functions,8
52,"Expand, relocate, or underground? Social acceptance of upgrading wastewater treatment plants",5
53,Public perspective on the environmental impacts of sea sand mining: Evidence from a choice experiment in South Korea,5
54,A rhodanine-based fluorescent chemosensor for sensing Zn2+ and Cd2+: Applications to water sample and cell imaging,22
55,"Ratiometric fluorescence In3+ sensing via In3+-triggered tautomerization: Its applications to water samples, live cells and zebrafish",16
56,Flat Yarn Fabric Substrates for Screen-Printed Conductive Textiles,29
57,An Efficient Sampling Algorithm with a K-NN Expanding Operator for Depth Data Acquisition in a LiDAR System,16
58,The Pushout Test of Seismic Reinforcement System (SRM) Connection that Respond to Earthquake Extensive Level,13
59,Topology Optimization and Additive Manufacturing of Automotive Component by Coupling Kinetic and Structural Analyses,2
60,Rapid biodegradable microneedles with allergen reservoir for skin allergy test,8
61,Chemical composition and antioxidant capacity of black pepper pericarp,22
62,Low-temperature large-area fabrication of ZnO nanowires on flexible plastic substrates by solution-processible metal-seeded hydrothermal growth,9
63,Adhesive resin composites with ceramic nanoparticles for enhanced light extraction efficiency of sandwiched LED device structure,8
64,A conjugated Schiff base-based chemosensor for selectively detecting mercury ion,22
65,Projection of meteorological droughts in Nigeria during growing seasons under climate change scenarios,17
66,ALD growth of ZnO on p-Si and electrical characterization of ZnO/p-Si heterojunctions,21
67,Parameterized algorithms of fundamental NP-hard problems: a survey,2
68,Mitochondrial plastid DNA can cause DNA barcoding paradox in plants,5
69,Smart seed selection-based effective black box fuzzing for IIoT protocol,15
70,A blockchain-based smart home gateway architecture for preventing data forgery,15
71,Multifunctional electrochromic energy storage devices by chemical cross-linking: impact of a WO3·H2O nanoparticle-embedded chitosan thin film on amorphous WO3 films,9
72,Optimization of carbon coating thickness to prevent crack generation in Sn nanoparticles during charge/discharge process and their electrochemical properties,13
73,Modular Three-phase Single-stage Isolated AC-DC Converter for Electrolytic Capacitor-less EV DC Charging,2
74,A Four-Phase Current-Fed DC-DC Converter for Wide Voltage Range Applications,2
75,Recent Advances in One-Pot Modular Synthesis of 2-Quinolones,9
76,Comparative Study of the Effects of Light Controlled Germination Conditions on Saponarin Content in Barley Sprouts and Lipid Accumulation Suppression in HepG2 Hepatocyte and 3T3-L1 Adipocyte Cells Using Barley Sprout Extracts,22
77,Biological activities and chemical components of Potentilla kleiniana Wight & Arn,22
78,Low-power wireless communication for wireless power transfer device,29
79,Optimization and Validation of Dual Element Ultrasound Transducers for Improved Pulse-Echo Measurements of Material Nonlinearity,13
80,Disulfide polymer grafted polypropylene/polyethylene filter media for selective cadmium removal,9
81,An intelligent financial portfolio trading strategy using deep Q-learning,5
82,Effect of Blending Ratio and Temperature on CO2Solubility in Blended Aqueous Solution of Monoethanolamine and 2-Amino-2-methyl-propanol: Experimental and Modeling Study Using the Electrolyte Nonrandom Two-Liquid Model,17
83,Developing a new chemosensor targeting zinc ion based on two types of quinoline platform,16
84,Automatic multi-stage cold forging of an sus304 ball-stud with a hexagonal hole at one end,8
85,Energy saving of a university building using a motion detection sensor and room management system,16
86,Athlete-specific neural strategies under pressure: A fnirs pilot study,22
87,The right to urban streams: Quantitative comparisons of stakeholder perceptions in defining adaptive stream restoration,5
88,Optimal ESS scheduling for peak shaving of building energy using accuracy-enhanced load forecast,2
89,Variations in the tensile strength in material extrusion-type 3D printed specimens for various tool paths,8
90,Static design parameters of ballastless track with wide sleeper on asphalt concrete trackbed by real scale wheel load test,2
91,High Optical Transparent and Shielding Effectiveness Using Metal Mesh and Saltwater for Transparent EMI Shielding Applications,29
92,MPQ-YOLACT: Mixed-Precision Quantization for Lightweight YOLACT,16
93,Rapid production of dried sea cucumber (stichopus japonicus) using infrared assisted freeze drying (IRAFD),22
94,Defect detection of solar panel using CNN,16
95,Foreground objects segmentation using background image generated by vae,16
96,Semantic segmentation using edge loss,4
97,Comprehensive Analysis of a Cu Nitride Passivated Surface That Enhances Cu-to-Cu Bonding,21
98,Autonomous flying of drone based on ppo reinforcement learning algorithm,34
99,Flow characteristic during injection molding of PC/MWNT nanocomposites,8
100,Development of a prediction method for the hyper-elastic material model coefficient through the indentation test and machine learning,4
101,Particle focusing under newtonian and viscoelastic flow in a straight rhombic microchannel,8
102,3d indoor scene semantic segmentation using 2d semantic segmentation projection,16
103,A nonlinear model predictive control with enlarged region of attraction via the union of invariant sets,5
104,An integral equation approach to the irreversible investment problem with a finite horizon,5
105,Valuation of exchange option with credit risk in a hybrid model,5
106,Ultrasonic monitoring performance degradation of lithium ion battery,22
107,Accelerating the oxygen reduction reaction and oxygen evolution reaction activities of n and p co-doped porous activated carbon for li-o2 batteries,9
108,"Vehicle stability control with four-wheel independent braking, drive and steering on in-wheel motor-driven electric vehicles",2
109,Health monitoring of mechanically fatigued flexible lithium ion battery by electrochemical impedance spectroscopy,9
110,Wear-out failure of an IGBT module in motor drives due to uneven thermal impedance of power semiconductor devices,2
111,Effect of the Energy Level and the Carrier Mobility of the Hole Extraction Layer on the Performance of Planar-mixed Heterojunction Organic Solar Cells,9
112,Comparison of ensembles projections of rainfall from four bias correction methods over nigeria,17
113,Mitochondrial DNA lesions and copy number are strain dependent in endurance-trained mice,22
114,Serendipity adjustable application recommendation via joint disentangled recurrent variational auto-encoder,4
115,Waterproofing performance grade proposal through standard test result comparison of self adhesive rubberized asphalt sheet,30
116,Feature analysis of smart shoe sensors for classification of gait patterns,16
117,Technology fusion characteristics in the solar photovoltaic industry of south korea: A patent network analysis using ipc co-occurrence,15
118,Stress transfer mechanism of flange in split Hopkinson tension bar,13
119,Major clues and pitfalls in the differential diagnosis of parathyroid and thyroid lesions using fine needle aspiration cytology,34
120,Recent trends in morphology-controlled synthesis and application of mesoporous silica nanoparticles,9
121,Tool path design of the counter single point incremental forming process to decrease shape error,8
122,Predicting mobile trading system discontinuance: The role of attention,5
123,"Development and Evaluation of a Hybrid Walking Rehabilitation Robot, DDgo Pro",16
124,Accelerating F-doping in transparent conducting F-doped SnO2 films for electrochromic energy storage devices,9
125,Spatiotemporal changes in precipitation extremes in the arid province of Pakistan with removal of the influence of natural climate variability,17
126,Development of an azo-naphthol-based probe for detecting hypochlorite (ClO−) via color change in aqueous solution,34
127,Recent Progress in Self-healing Materials for Sensor Arrays,8
128,A Back Propagation Neural Network with Double Learning Rate for PID Controller in Phase-Shifted Full-Bridge Soft-switching Power Supply,2
129,Differences between main shock and aftershock ground motions derived from the Japanese KiK-net database,34
130,Colorful opaque photovoltaic modules with down-converting InP/ZnSexS1-x quantum dot layers,16
131,Comparative evaluation of reliability assessment methods of power modules in motor drive inverter,2
132,Prediction of the effects of management practices on discharge and mineral nitrogen yield from paddy fields under future climate using APEX-paddy model,17
133,Extraction and prioritization of product attributes using an explainable neural network,4
134,In situ carbon felt anode modification via codeveloping Saccharomyces cerevisiae living-template titanium dioxide nanoclusters in a yeast-based microbial fuel cell,9
135,Enhanced extracellular electron transfer of yeast-based microbial fuel cells via one pot substrate-bound growth iron-manganese oxide nanoflowers,9
136,Bit-width reduction in write counters for wear leveling in a phase-change memory system,15
137,Enhancements in catalytic activity and duration of PdFe bimetallic catalysts and their use in direct formic acid fuel cells,9
138,Current Mode Neuromorphic Implementation using Current Memory,15
139,An MAE-Aware ROI Sampling Model for LiDAR,16
140,Design of 32-bit Processor for Embedded Systems,15
141,A Fast Locking Duty Cycle Corrector with High Accuracy,2
142,Instant and Accurate Instance Segmentation Equipped with Path Aggregation and Attention Gate,4
143,Mask-Soft Filter Pruning for Lightweight CNN Inference,15
144,Mixture of Deterministic and Stochastic Quantization Schemes for Lightweight CNN,15
145,Isolated High Step-Up Dual-Flyback DC–DC Converter with a Resonant Voltage Multiplier,2
146,High-speed formation of a near-full-density bondline in sinter-bonding below 250°C using 2 µm Cu particles coated with Ag,21
147,Curvature Effect of a Phosphatidylethanolamine-Included Membrane on the Behavior of Cinnamycin on the Membrane,8
148,A psychophysiological effect of indoor thermal condition on college students’ learning performance through EEG measurement,22
149,Fabrication method of multi-depth circular microchannels for investigating arterial thrombosis-on-a-chip,8
150,A novel scheme for modelling and analysis of spot-welded shell structures using interface shell elements,8
151,Rapid defect engineering of UiO-67 (Zr) via microwave-assisted continuous-flow synthesis: Effects of modulator species and concentration on the toluene adsorption,9
152,Accelerating lithium storage capability of cobalt sulfide encapsulated within anion dual-doped mesoporous carbon nanofibers,9
153,All iron aqueous redox flow batteries using organometallic complexes consisting of iron and 3-[bis (2-hydroxyethyl)amino]-2-hydroxypropanesulfonic acid ligand and ferrocyanide as redox couple,9
154,Nine watt – Level aqueous organic redox flow battery stack using anthraquinone and vanadium as redox couple,9
155,Visual surveillance using deep reinforcement learning,16
156,Visual surveillance using background model image generated by GAN,4
157,Auxiliary Power Module - Integrated EV Charger with Extended ZVS range,2
158,Integrated Planar Transformer Design of 3-kW Auxiliary Power Module for Electric Vehicles,2
159,Analysis of AMI communication methods in various field environments,26
160,A preprocessing strategy for denoising of speech data based on speech segment detection,4
161,"Effect of Cu, Cr, S doped Tio2 for transparent plastic bar reinforced concrete",9
162,Path planning for multi-arm manipulators using deep reinforcement learning: Soft actor–critic with hindsight experience replay,4
163,Effect of formwork removal time reduction on construction productivity improvement by mix design of early strength concrete,13
164,Analysis of dynamic characteristics of deformed concrete slab track on transition zone in high-speed train line according to train speeds,2
165,Validation and measurement uncertainty of GC-MS quantification method for nicotine in dried mushrooms using QuEChERS extraction,16
166,Dynamic response analysis of multi-layered core sandwich structures for protection against underwater explosion,2
167,Hierarchical Model for Long-Length Video Summarization with Adversarially Enhanced Audio/Visual Features,4
168,Model Uncertainty for Unsupervised Domain Adaptation,4
169,Effect of nb addition and pre-strain on hydrogen embrittlement of low-carbon steels with ferrite-pearlite structure,13
170,Evaluation of load transfer performance of PSC anchorage according to changes in yield strength and spacing of confinement reinforcement,13
171,Pt-Ru Alloy Catalysts with Doped CeO2 Interlayer for Methane Conversion,9
172,Dynamic load analysis of the lock-up clutch damper spring of automatic transmission,2
173,Improvement in accuracy of a multi-joint robotic ultrasonic inspection system for the integrity of composite structures,8
174,Assessment of optimum cao content range for high volume fa based concrete considering durability properties,13
175,The derivation of defect priorities and core defects through impact relationship analysis between embedded software defects,34
176,Estimation of water-use rates based on hydro-meteorological variables using deep belief network,17
177,Is the board of directors’ religion related to tax avoidance? Empirical evidence in south korea,5
178,Application of non-destructive rapid determination of piperine in piper nigrum l. (black pepper) using nir and multivariate statistical analysis: A promising quality control tool,5
179,Self-crosslinking hyaluronic acid-carboxymethylcellulose hydrogel enhances multilayered 3D-printed construct shape integrity and mechanical stability for soft tissue engineering,8
180,Joint- or crack-opening resistance evaluation of waterproofing material and system for structural sustainability in railroad bridge deck,13
181,Neuron blockchain algorithm for legal problems in inheritance of legacy,15
182,Strain-Based CTOD and J-Integral Estimations for Pipelines with a Surface Crack under Large Plastic Strain and Internal Pressure,13
183,Plastic Limit Pressure Solutions for Elbows with Slant Through-Wall Cracks,13
184,Feasibility of rapid piperine quantification in whole and black pepper using near infrared spectroscopy and chemometrics,22
185,How to identify promising chances for technological innovation: Keygraph-based patent analysis,15
186,Roll-to-roll production of a cellulose filter with immobilized Prussian blue for 137Cs adsorption,9
187,Sinter bonding and formation of a near-full-density bondline at 250 °C via addition of submicrometer Cu particles to micrometer Ag-coated Cu particles,21
188,Public acceptance of a large-scale offshore wind power project in South Korea,5
189,Public perspective on constructing sea forests as a public good: A contingent valuation experiment in South Korea,5
190,Facile synthesis of hierarchical CuS microspheres with high visible-light-driven photocatalytic activity,9
191,Investigation of thermal enhancement factor in micro pulsating heat exchanger using LIF visualization technique,8
192,"An effective phthalazine-imidazole-based chemosensor for detecting Cu2+, Co2+ and S2− via the color change",16
193,Parity bias in partitions,30
194,A thiourea-based fluorescent chemosensor for bioimaging hypochlorite,16
195,A 3D-printed metal column for micro gas chromatography,34
196,Simultaneous etching of underlying metal oxide and sulfide thin films during Cu2S atomic layer deposition,9
197,A Unique Thiosemicarbazide-Based Colorimetric Chemosensor for Fe2+ in Pure Aqueous Solution with the Lowest Detection Limit,16
198,Highly sensitive flexible NO2sensor composed of vertically aligned 2D SnS2operating at room temperature,9
199,Simultaneous hydrogen production and pollutant degradation by photocatalysis of wastewater using liquid phase plasma,9
200,Bag of Tricks for Electrocardiogram Classification with Deep Neural Networks,4
201,PVHybNet: A hybrid framework for predicting photovoltaic power generation using both weather forecast and observation data,4
202,Enhanced proton conductivity of Gd–Co bi-doped barium cerate perovskites based on structural and microstructural investigations,9
203,The JSNS2data acquisition system,22
204,A Concept of Accelerating the Demagnetization of Switched Reluctance Motor,2
205,Analysis of the section deflection in the incremental sheet metal forming process of the circular cup shape according to the cup geometry,8
206,Graphene oxide coated silver nanofiber transparent conducting electrode,9
207,The validity and reliability of the Malay version of the social support for exercise and physical environment for physical activity scales,22
208,Assessment of strength development at hardened stage on high-strength concrete using NDT,13
209,Design and characterization of VHF band small antenna using CRLH transmission line and non-foster matching circuit,29
210,Exclusive Heavy Quark Dijet Cross Section,26
211,"The effects of fast food restaurant attributes on customer satisfaction, revisit intention, and recommendation using DINESERV scale",15
212,Neuroprotective activity of polyphenol-rich ribes diacanthum pall against oxidative stress in glutamate-stimulated ht-22 cells and a scopolamine-induced amnesia animal model,22
213,Infrared assisted freeze-drying (IRAFD) to produce shelf-stable insect food from protaetia brevitarsis (white-spotted flower chafer) Larva,22
214,Design consideration to achieve wide-speed-range operation in a switched reluctance motor,2
215,Uncertainty analysis of monthly precipitation in GCMs using multiple bias correction methods under different RCPs,17
216,A power flow control strategy for hybrid control architecture of dc microgrid under unreliable grid connection considering electricity price constraint,2
217,A new text classification model based on contrastive word embedding for detecting cybersecurity intelligence in twitter,4
218,Section design of a hydroponic cultivation vessel using topology optimization,8
219,Decision-making of LID-BMPs for adaptive water management at the boise river watershed in a changing global environment,17
220,Optimal dummy pattern design method for PWB warpage control using the human-based genetic algorithm,4
221,A Novel Average Torque Control of Switched Reluctance Motor Based on Flux-Current Locus Control,2
222,Wind power generation prediction based on weather forecast data using deep neural networks,26
223,Geometric case based reasoning for stock market prediction,13
224,Tourist attraction and points of interest (POIs) using search engine data: Case of seoul,5
225,A study of waterproof reinforcement layers for the post-cracking behavior of fiber reinforced concrete,13
226,An integrated method for identifying present status and risk of drought in Bangladesh,17
227,Fuel injection characteristic measurements under a transient injector driving condition using an injector driving algorithm,2
228,An acridine-based fluorescent sensor for monitoring clo− in water samples and zebrafish,16
229,Projection of Potential Evapotranspiration for North Korea Based on Selected GCMs by TOPSIS,17
230,Automated classification of patents: A topic modeling approach,15
231,Urban Flooding in the Northern Part of Kabul City: Causes and Mitigation,17
232,A Study on the Effects of Specimen Geometry on Measurement Accuracy of Dynamic Constitutive Properties of Metals Using SHTB,13
233,An Assessment and Planning Methodology for University-Based: Entrepreneurship Ecosystems,5
234,What do we know about public acceptance of designating marine protected area? The case of Jaran Bay in South Korea,34
235,Numerical simulation of crack propagation in shell structures using interface shell elements,8
236,A deep learning-based IoT-oriented infrastructure for secure smart City,15
237,High seebeck coefficient thermo-electrochemical cell using nickel hollow microspheres electrodes,9
238,Centrifuge modeling of disconnected piled raft using vertical pushover tests,13
239,Frequency Adaptive Grid Voltage Sensorless Control of LCL-Filtered Inverter Based on Extended Model Observer,2
240,Novel method for the fast measurement of the three-dimensional range of the eyebox of a VR device,16
241,BlockIoTIntelligence: A Blockchain-enabled Intelligent IoT Architecture with Artificial Intelligence,15
242,Effect of axial ligand on the performance of hemin based catalysts and their use for fuel cells,9
243,Atomic-layer-deposited SnO2on Pt/C prevents sintering of Pt nanoparticles and affects the reaction chemistry for the electrocatalytic glycerol oxidation reaction,34
244,Colloidal quantum dot hybrids: An emerging class of materials for ambient lighting,16
245,Kinetic and thermodynamic studies of cinnamycin specific-adsorption on PE-Included-Membranes using surface plasmon resonance,9
246,Effects of process parameters on Cu-nanoparticle synthesis in tetraethylene glycol through microwave irradiation,9
247,Second-order effective energy-momentum tensor of gravitational scalar perturbations with perfect fluid,26
248,A Gradient-Aware Line Sampling Algorithm for LiDAR Scanners,16
249,Capacitor Loaded Dual-band Flexible Antenna for ISM Band Applications,29
250,Compact Flexible Frequency Reconfigurable Antenna for Heterogeneous Applications,29
251,Evaluation of basic properties of cement asphalt mortar depending on sand gradation and cement fineness,13
252,Effects of aronia (aronia melanocarpa) on the sensory and microbiological properties of nabak kimchi during fermentation,22
253,A Compact multiband multi-mode frequency reconfigurable antenna for portable devices,29
254,Electrically Small Frequency Reconfigurable Antenna for Heterogeneous Applications,29
255,Improving the stability of lycopene from chemical degradation in model beverage emulsions: Impact of hydrophilic group size of emulsifier and antioxidant polarity,22
256,"Future trends of iot, 5G mobile networks, and AI: Challenges, opportunities, and solutions",15
257,A comprehensive analyses of intrusion detection system for IoT environment,15
258,"The fruit of acanthopanax senticosus harms improves arterial stiffness and blood pressure: A randomized, placebo-controlled trial",22
259,Design of an enhanced web archiving system for preserving content integrity with blockchain,15
260,Experimental study of vacuum grout injection method for post-tensioned prestressed concrete structures,34
261,Development of a fuzzy-function-based performance indicator for water distribution system's emergency condition,30
262,Ultimate compressive strength of stiffened panel: An empirical formulation for flat-bar type,13
263,Blockchain-based cyber threat intelligence system architecture for sustainable computing,15
264,High Optical Visibility and Shielding Effectiveness Metal Mesh Film for Microwave Oven Application,29
265,Machine learning-based network sub-slicing framework in a sustainable 5G environment,15
266,Inhibition of droplet growth in model beverage emulsions stabilized using poly (ethylene glycol) alkyl ether surfactants having various hydrophilic head sizes: Impact of ester gum,22
267,Plane Dependent Subject-Specific Neuromuscular Training for Knee Rehabilitation,34
268,Economic effects of individual heating system and district heating system in South Korea: An input-output analysis,5
269,Anti-inflammatory properties of mineral-balanced deep sea water in in-vitro and in-vivo models of inflamed intestinal epithelium,22
270,Distributed cell clustering based on multi-layer message passing for downlink joint processing coordinated multipoint transmission,4
271,Scalable and high-throughput top-down manufacturing of optical metasurfaces,8
272,Boosting Ultrafast Lithium Storage Capability of Hierarchical Core/Shell Constructed Carbon Nanofiber/3D Interconnected Hybrid Network with Nanocarbon and FTO Nanoparticle Heterostructures,9
273,GCM selection and temperature projection of Nigeria under different RCPs of the CMIP5 GCMS,17
274,Experimental and numerical investigations of spatially-varying dispersion tensors based on vertical velocity profile and depth-averaged flow field,8
275,A pyrene-mercapto-based probe for detecting Ag+ by fluorescence turn-on,34
276,Data on the current-voltage dependents of nickel hollow microspheres based thermo-electrochemical in alkaline electrolyte,9
277,Study on the Formability of Magnesium Alloy Sheets in the Incremental Forming Process with External Heating Sources,8
278,Uncertainty-based Object Detector for Autonomous Driving Embedded Platforms,16
279,Organometallic redox flow batteries using iron triethanolamine and cobalt triethanolamine complexes,9
280,3D printable and injectable lactoferrin-loaded carboxymethyl cellulose-glycol chitosan hydrogels for tissue engineering applications,16
281,Blockchain and federated learning-based distributed computing defence framework for sustainable society,15
282,"Highly efficient photocatalytic methylene blue degradation over Sn(O,S)/TiO2 photocatalyst fabricated via powder atomic layer deposition of SnO and subsequent sulfurization",9
283,Rare-earth ions integrated silica nanoparticles derived from rice husk via microwave-assisted combustion method for bioimaging applications,9
284,Phase transformation of NiCo hydroxides derived from carbonate anion and its effect on electrochemical pseudocapacitor performance,9
285,On the oxygen vacancies optimization through Pr co-doping of ceria-based electrolytes for electrolyte-supported solid oxide fuel cells,9
286,Membraneless biofuel cells using new cathodic catalyst including hemin bonded with amine functionalized carbon nanotube and glucose oxidase sandwiched by poly(dimethyl-diallylammonium chloride),9
287,Amylosucrase-modified waxy potato starches recrystallized with amylose: The role of amylopectin chain length in formation of low-digestible fractions,22
288,A Miniaturized UWB Antenna for Flexible Electronics,29
289,Bottom-line mechanism of organochlorine pesticides on mitochondria dysfunction linked with type 2 diabetes,16
290,"Physical activity, health and well-being in an imposed social distanced world",8
291,BIM-based preliminary estimation method considering the life cycle cost for decision-making in the early design phase,5
292,"Sociocultural influences, drive for thinness, drive for muscularity, and body dissatisfaction among Korean undergraduates",22
293,The Winning Probability of a Game and the Importance of Points in Tennis Matches,13
294,Response correction factor of load carrying capacity on railway bridge using test/commercially operating train,2
295,Evaluation of debonding at interface between TCL and HSB in railway concrete slabs using multi-channel IE testing,13
296,Variations in the impact strength of material extrusion-type 3d printed specimens depending on tool path and building direction,8
297,Prediction of static modulus and compressive strength of concrete from dynamic modulus associated with wave velocity and resonance frequency using machine learning techniques,13
298,Recent advances in the characterization and the treatment methods of effluent organic matter,16
299,Lμ-Lτ effects to quarks and leptons from flavor unification,34
300,Development of motion platform-based exercise equipment for rehabilitation training and posture balance,16
301,Performance Study for Random Access-Based Wireless Mutual Broadcast Networks with Ginibre Point Processes,4
302,Hybrid forecasting models based on the neural networks for the volatility of bitcoin,4
303,Effect of Normal Forces on the Electrical Endurance of Tin-Plated Contacts under Elevated Temperature Fretting Conditions,21
304,Effect of oxygen source on the various properties of SnO2 thin films deposited by plasma-enhanced atomic layer deposition,9
305,Intellino: Processor for embedded artificial intelligence,15
306,Performance of PMTs for the JSNS2experiment,22
307,Effect of damage evaluation method and cyclic hardening models on strain-based fatigue assessment to a piping system under seismic loads,13
308,Improvements of design for safety in construction through multi-participants perception analysis,5
309,An input-output analysis of the economic role and effects of the mining industry in South Korea,5
310,Estimation of tensile strain capacity for thin-walled API X70 pipeline with corrosion defects using the fracture strain criteria,13
311,Comparison of Synthetic Neuronal Model Membrane Mimics in Amyloid Aggregation at Atomic Resolution,22
312,Collagen extract derived from yeonsan ogye chicken increases bone microarchitecture by suppressing the RANKL/OPG ratio via the JNK signaling pathway,22
313,"Removal of 1,4-naphthoquinone by birnessite-catalyzed oxidation: Effect of phenolic mediators and the reaction pathway",9
314,Acoustofluidic microdevice for precise control of pressure nodal positions,8
315,Investigation on the effect of density ratio on the convergence behavior of partitioned method for fluid–structure interaction simulation,8
316,A miniaturized wideband and multi-band on-demand reconfigurable antenna for compact and portable devices,29
317,Docking assessment algorithm for autonomous underwater vehicles,4
318,Effects of Weather and Calendar Events on Mode-Choice Behaviors for Public Transportation,2
319,Public perspectives on reducing the environmental impact of onshore wind farms: a discrete choice experiment in South Korea,5
320,Stress-constrained shape and topology optimization with the level set method using trimmed hexahedral meshes,8
321,Divergence of potential evapotranspiration trends over Pakistan during 1967–2016,17
322,Blockchain technology toward green IoT: Opportunities and challenges,15
323,Waiting Time Minimized Charging and Discharging Strategy Based on Mobile Edge Computing Supported by Software-Defined Network,2
324,Distributed denial of service attacks and its defenses in IoT: a survey,15
325,Microwave-assisted continuous-flow synthesis of mixed-ligand UiO-66(Zr) frameworks and their application to toluene adsorption,9
326,Facile fabrication of polyaniline films with hierarchical porous networks for enhanced electrochemical activity,9
327,Development of an intelligent information index model for local government in South Korea,5
328,Can people with disabilities use the mobile Internet if they want to?,4
329,Nucleation and growth behavior of aluminum nitride film using thermal atomic layer deposition,9
330,Relationship between alcohol consumption and drinking refusal self-efficacy among university students: The roles of sports type and gender,34
331,Convection and the Extracellular Matrix Dictate Inter- And Intra-Biofilm Quorum Sensing Communication in Environmental Systems,22
332,Robust transferrable superhydrophobic surfaces,21
333,Symmetry-adapted machine learning for information security,15
334,"Posture Stabilization of Quadruped Walking Robot, PongBot with Disturbances",2
335,Estimation of the liability risk for release of chemicals at chemical plant,5
336,Effects of two-step plasma treatment on Cu and SiO2 surfaces for 3D bonding applications,21
337,Development of CMOS-Compatible Low Temperature Cu Bonding Optimized by the Response Surface Methodology,21
338,Yielding behavior and strain aging properties of bake hardening steel with dual-phase microstructure,13
339,Fabrication and properties of densified tungsten by magnetic pulse compaction and spark plasma sintering,9
