id,cluster
Oxidation Behavior of Pack-Cemented Refractory High-Entropy Alloy,2
Public preference toward an energy transition policy: the case of South Korea,9
HANMRE - An authenticated encryption secure against side-channel attacks for nonce-misuse and lightweight approaches,10
MEMS particle sensor based on resonant frequency shifting,7
Impedance study on humidity dependent conductivity of polymer composites with conductive nanofillers,4
A Thiourea-Containing Fluorescent Chemosensor for Detecting Ga3+,12
Identification of promising inventions considering the quality of knowledge accumulation: a machine learning approach,14
Design of Repetitive Control Systems Using a Delayed Control Input and a State Error,5
A colorimetric chemosensor for selective detection of copper ions,12
Study and Evaluation of the Potential of Lipid Nanocarriers for Transdermal Delivery of siRNA,0
Atomic Layer Deposition of AlN Thin Films on GaN and Electrical Properties in AlN/GaN Heterojunction Diodes,4
Prevention of Ostwald ripening in orange oil emulsions: Impact of surfactant type and Ostwald ripening inhibitor type,12
"Estimation of daily intake of lycopene, antioxidant contents and activities from tomatoes, watermelons, and their processed products in Korea",11
Efficient isoparametric trimmed-hexahedral elements with explicit shape functions,3
"Expand, relocate, or underground? Social acceptance of upgrading wastewater treatment plants",9
Public perspective on the environmental impacts of sea sand mining: Evidence from a choice experiment in South Korea,9
A rhodanine-based fluorescent chemosensor for sensing Zn2+ and Cd2+: Applications to water sample and cell imaging,12
"Ratiometric fluorescence In3+ sensing via In3+-triggered tautomerization: Its applications to water samples, live cells and zebrafish",12
Flat Yarn Fabric Substrates for Screen-Printed Conductive Textiles,6
An Efficient Sampling Algorithm with a K-NN Expanding Operator for Depth Data Acquisition in a LiDAR System,13
The Pushout Test of Seismic Reinforcement System (SRM) Connection that Respond to Earthquake Extensive Level,8
Topology Optimization and Additive Manufacturing of Automotive Component by Coupling Kinetic and Structural Analyses,5
Rapid biodegradable microneedles with allergen reservoir for skin allergy test,12
Chemical composition and antioxidant capacity of black pepper pericarp,12
Low-temperature large-area fabrication of ZnO nanowires on flexible plastic substrates by solution-processible metal-seeded hydrothermal growth,7
Adhesive resin composites with ceramic nanoparticles for enhanced light extraction efficiency of sandwiched LED device structure,4
A conjugated Schiff base-based chemosensor for selectively detecting mercury ion,12
Projection of meteorological droughts in Nigeria during growing seasons under climate change scenarios,1
ALD growth of ZnO on p-Si and electrical characterization of ZnO/p-Si heterojunctions,4
Parameterized algorithms of fundamental NP-hard problems: a survey,5
Mitochondrial plastid DNA can cause DNA barcoding paradox in plants,12
Smart seed selection-based effective black box fuzzing for IIoT protocol,10
A blockchain-based smart home gateway architecture for preventing data forgery,10
Multifunctional electrochromic energy storage devices by chemical cross-linking: impact of a WO3Â·H2O nanoparticle-embedded chitosan thin film on amorphous WO3 films,4
Optimization of carbon coating thickness to prevent crack generation in Sn nanoparticles during charge/discharge process and their electrochemical properties,4
Modular Three-phase Single-stage Isolated AC-DC Converter for Electrolytic Capacitor-less EV DC Charging,5
A Four-Phase Current-Fed DC-DC Converter for Wide Voltage Range Applications,5
Recent Advances in One-Pot Modular Synthesis of 2-Quinolones,2
Comparative Study of the Effects of Light Controlled Germination Conditions on Saponarin Content in Barley Sprouts and Lipid Accumulation Suppression in HepG2 Hepatocyte and 3T3-L1 Adipocyte Cells Using Barley Sprout Extracts,11
Biological activities and chemical components of Potentilla kleiniana Wight & Arn,11
Low-power wireless communication for wireless power transfer device,6
Optimization and Validation of Dual Element Ultrasound Transducers for Improved Pulse-Echo Measurements of Material Nonlinearity,4
Disulfide polymer grafted polypropylene/polyethylene filter media for selective cadmium removal,2
An intelligent financial portfolio trading strategy using deep Q-learning,9
Effect of Blending Ratio and Temperature on CO2Solubility in Blended Aqueous Solution of Monoethanolamine and 2-Amino-2-methyl-propanol: Experimental and Modeling Study Using the Electrolyte Nonrandom Two-Liquid Model,3
Developing a new chemosensor targeting zinc ion based on two types of quinoline platform,12
Automatic multi-stage cold forging of an sus304 ball-stud with a hexagonal hole at one end,8
Energy saving of a university building using a motion detection sensor and room management system,13
Athlete-specific neural strategies under pressure: A fnirs pilot study,14
The right to urban streams: Quantitative comparisons of stakeholder perceptions in defining adaptive stream restoration,9
Optimal ESS scheduling for peak shaving of building energy using accuracy-enhanced load forecast,5
Variations in the tensile strength in material extrusion-type 3D printed specimens for various tool paths,7
Static design parameters of ballastless track with wide sleeper on asphalt concrete trackbed by real scale wheel load test,5
High Optical Transparent and Shielding Effectiveness Using Metal Mesh and Saltwater for Transparent EMI Shielding Applications,6
MPQ-YOLACT: Mixed-Precision Quantization for Lightweight YOLACT,13
Rapid production of dried sea cucumber (stichopus japonicus) using infrared assisted freeze drying (IRAFD),12
Defect detection of solar panel using CNN,13
Foreground objects segmentation using background image generated by vae,13
Semantic segmentation using edge loss,12
Comprehensive Analysis of a Cu Nitride Passivated Surface That Enhances Cu-to-Cu Bonding,7
Autonomous flying of drone based on ppo reinforcement learning algorithm,12
Flow characteristic during injection molding of PC/MWNT nanocomposites,12
Development of a prediction method for the hyper-elastic material model coefficient through the indentation test and machine learning,3
Particle focusing under newtonian and viscoelastic flow in a straight rhombic microchannel,7
3d indoor scene semantic segmentation using 2d semantic segmentation projection,13
A nonlinear model predictive control with enlarged region of attraction via the union of invariant sets,3
An integral equation approach to the irreversible investment problem with a finite horizon,12
Valuation of exchange option with credit risk in a hybrid model,12
Ultrasonic monitoring performance degradation of lithium ion battery,12
Accelerating the oxygen reduction reaction and oxygen evolution reaction activities of n and p co-doped porous activated carbon for li-o2 batteries,2
"Vehicle stability control with four-wheel independent braking, drive and steering on in-wheel motor-driven electric vehicles",5
Health monitoring of mechanically fatigued flexible lithium ion battery by electrochemical impedance spectroscopy,4
Wear-out failure of an IGBT module in motor drives due to uneven thermal impedance of power semiconductor devices,5
Effect of the Energy Level and the Carrier Mobility of the Hole Extraction Layer on the Performance of Planar-mixed Heterojunction Organic Solar Cells,4
Comparison of ensembles projections of rainfall from four bias correction methods over nigeria,1
Mitochondrial DNA lesions and copy number are strain dependent in endurance-trained mice,11
Serendipity adjustable application recommendation via joint disentangled recurrent variational auto-encoder,14
Waterproofing performance grade proposal through standard test result comparison of self adhesive rubberized asphalt sheet,9
Feature analysis of smart shoe sensors for classification of gait patterns,14
Technology fusion characteristics in the solar photovoltaic industry of south korea: A patent network analysis using ipc co-occurrence,14
Stress transfer mechanism of flange in split Hopkinson tension bar,6
Major clues and pitfalls in the differential diagnosis of parathyroid and thyroid lesions using fine needle aspiration cytology,12
Recent trends in morphology-controlled synthesis and application of mesoporous silica nanoparticles,2
Tool path design of the counter single point incremental forming process to decrease shape error,3
Predicting mobile trading system discontinuance: The role of attention,14
"Development and Evaluation of a Hybrid Walking Rehabilitation Robot, DDgo Pro",14
Accelerating F-doping in transparent conducting F-doped SnO2 films for electrochromic energy storage devices,4
Spatiotemporal changes in precipitation extremes in the arid province of Pakistan with removal of the influence of natural climate variability,1
Development of an azo-naphthol-based probe for detecting hypochlorite (ClO) via color change in aqueous solution,12
Recent Progress in Self-healing Materials for Sensor Arrays,7
A Back Propagation Neural Network with Double Learning Rate for PID Controller in Phase-Shifted Full-Bridge Soft-switching Power Supply,5
Differences between main shock and aftershock ground motions derived from the Japanese KiK-net database,8
Colorful opaque photovoltaic modules with down-converting InP/ZnSexS1-x quantum dot layers,12
Comparative evaluation of reliability assessment methods of power modules in motor drive inverter,5
Prediction of the effects of management practices on discharge and mineral nitrogen yield from paddy fields under future climate using APEX-paddy model,1
Extraction and prioritization of product attributes using an explainable neural network,14
In situ carbon felt anode modification via codeveloping Saccharomyces cerevisiae living-template titanium dioxide nanoclusters in a yeast-based microbial fuel cell,2
Enhanced extracellular electron transfer of yeast-based microbial fuel cells via one pot substrate-bound growth iron-manganese oxide nanoflowers,2
Bit-width reduction in write counters for wear leveling in a phase-change memory system,10
Enhancements in catalytic activity and duration of PdFe bimetallic catalysts and their use in direct formic acid fuel cells,2
Current Mode Neuromorphic Implementation using Current Memory,5
An MAE-Aware ROI Sampling Model for LiDAR,12
Design of 32-bit Processor for Embedded Systems,3
A Fast Locking Duty Cycle Corrector with High Accuracy,5
Instant and Accurate Instance Segmentation Equipped with Path Aggregation and Attention Gate,13
Mask-Soft Filter Pruning for Lightweight CNN Inference,13
Mixture of Deterministic and Stochastic Quantization Schemes for Lightweight CNN,13
Isolated High Step-Up Dual-Flyback DC_C Converter with a Resonant Voltage Multiplier,12
High-speed formation of a near-full-density bondline in sinter-bonding below 250Â°C using 2 Âµm Cu particles coated with Ag,7
Curvature Effect of a Phosphatidylethanolamine-Included Membrane on the Behavior of Cinnamycin on the Membrane,7
A psychophysiological effect of indoor thermal condition on college students learning performance through EEG measurement,14
Fabrication method of multi-depth circular microchannels for investigating arterial thrombosis-on-a-chip,7
A novel scheme for modelling and analysis of spot-welded shell structures using interface shell elements,3
Rapid defect engineering of UiO-67 (Zr) via microwave-assisted continuous-flow synthesis: Effects of modulator species and concentration on the toluene adsorption,2
Accelerating lithium storage capability of cobalt sulfide encapsulated within anion dual-doped mesoporous carbon nanofibers,2
All iron aqueous redox flow batteries using organometallic complexes consisting of iron and 3-[bis (2-hydroxyethyl)amino]-2-hydroxypropanesulfonic acid ligand and ferrocyanide as redox couple,2
Nine watt  Level aqueous organic redox flow battery stack using anthraquinone and vanadium as redox couple,2
Visual surveillance using deep reinforcement learning,13
Visual surveillance using background model image generated by GAN,13
Auxiliary Power Module - Integrated EV Charger with Extended ZVS range,12
Integrated Planar Transformer Design of 3-kW Auxiliary Power Module for Electric Vehicles,5
Analysis of AMI communication methods in various field environments,9
A preprocessing strategy for denoising of speech data based on speech segment detection,3
"Effect of Cu, Cr, S doped Tio2 for transparent plastic bar reinforced concrete",2
Path planning for multi-arm manipulators using deep reinforcement learning: Soft actor_ritic with hindsight experience replay,3
Effect of formwork removal time reduction on construction productivity improvement by mix design of early strength concrete,10
Analysis of dynamic characteristics of deformed concrete slab track on transition zone in high-speed train line according to train speeds,8
Validation and measurement uncertainty of GC-MS quantification method for nicotine in dried mushrooms using QuEChERS extraction,1
Dynamic response analysis of multi-layered core sandwich structures for protection against underwater explosion,5
Hierarchical Model for Long-Length Video Summarization with Adversarially Enhanced Audio/Visual Features,14
Model Uncertainty for Unsupervised Domain Adaptation,3
Effect of nb addition and pre-strain on hydrogen embrittlement of low-carbon steels with ferrite-pearlite structure,2
Evaluation of load transfer performance of PSC anchorage according to changes in yield strength and spacing of confinement reinforcement,8
Pt-Ru Alloy Catalysts with Doped CeO2 Interlayer for Methane Conversion,2
Dynamic load analysis of the lock-up clutch damper spring of automatic transmission,5
Improvement in accuracy of a multi-joint robotic ultrasonic inspection system for the integrity of composite structures,8
Assessment of optimum cao content range for high volume fa based concrete considering durability properties,8
The derivation of defect priorities and core defects through impact relationship analysis between embedded software defects,10
Estimation of water-use rates based on hydro-meteorological variables using deep belief network,1
Is the board of directors religion related to tax avoidance? Empirical evidence in south korea,12
Application of non-destructive rapid determination of piperine in piper nigrum l. (black pepper) using nir and multivariate statistical analysis: A promising quality control tool,9
Self-crosslinking hyaluronic acid-carboxymethylcellulose hydrogel enhances multilayered 3D-printed construct shape integrity and mechanical stability for soft tissue engineering,0
Joint- or crack-opening resistance evaluation of waterproofing material and system for structural sustainability in railroad bridge deck,8
Neuron blockchain algorithm for legal problems in inheritance of legacy,10
Strain-Based CTOD and J-Integral Estimations for Pipelines with a Surface Crack under Large Plastic Strain and Internal Pressure,8
Plastic Limit Pressure Solutions for Elbows with Slant Through-Wall Cracks,8
Feasibility of rapid piperine quantification in whole and black pepper using near infrared spectroscopy and chemometrics,9
How to identify promising chances for technological innovation: Keygraph-based patent analysis,14
Roll-to-roll production of a cellulose filter with immobilized Prussian blue for 137Cs adsorption,2
Sinter bonding and formation of a near-full-density bondline at 250_Â°C via addition of submicrometer Cu particles to micrometer Ag-coated Cu particles,4
Public acceptance of a large-scale offshore wind power project in South Korea,9
Public perspective on constructing sea forests as a public good: A contingent valuation experiment in South Korea,9
Facile synthesis of hierarchical CuS microspheres with high visible-light-driven photocatalytic activity,2
Investigation of thermal enhancement factor in micro pulsating heat exchanger using LIF visualization technique,7
"An effective phthalazine-imidazole-based chemosensor for detecting Cu2+, Co2+ and S2 via the color change",2
Parity bias in partitions,12
A thiourea-based fluorescent chemosensor for bioimaging hypochlorite,12
A 3D-printed metal column for micro gas chromatography,7
Simultaneous etching of underlying metal oxide and sulfide thin films during Cu2S atomic layer deposition,7
A Unique Thiosemicarbazide-Based Colorimetric Chemosensor for Fe2+ in Pure Aqueous Solution with the Lowest Detection Limit,12
Highly sensitive flexible NO2sensor composed of vertically aligned 2D SnS2operating at room temperature,7
Simultaneous hydrogen production and pollutant degradation by photocatalysis of wastewater using liquid phase plasma,12
Bag of Tricks for Electrocardiogram Classification with Deep Neural Networks,12
PVHybNet: A hybrid framework for predicting photovoltaic power generation using both weather forecast and observation data,3
Enhanced proton conductivity of Gd_o bi-doped barium cerate perovskites based on structural and microstructural investigations,4
The JSNS2data acquisition system,11
A Concept of Accelerating the Demagnetization of Switched Reluctance Motor,5
Analysis of the section deflection in the incremental sheet metal forming process of the circular cup shape according to the cup geometry,3
Graphene oxide coated silver nanofiber transparent conducting electrode,7
The validity and reliability of the Malay version of the social support for exercise and physical environment for physical activity scales,14
Assessment of strength development at hardened stage on high-strength concrete using NDT,8
Design and characterization of VHF band small antenna using CRLH transmission line and non-foster matching circuit,6
Exclusive Heavy Quark Dijet Cross Section,12
"The effects of fast food restaurant attributes on customer satisfaction, revisit intention, and recommendation using DINESERV scale",9
Neuroprotective activity of polyphenol-rich ribes diacanthum pall against oxidative stress in glutamate-stimulated ht-22 cells and a scopolamine-induced amnesia animal model,12
Infrared assisted freeze-drying (IRAFD) to produce shelf-stable insect food from protaetia brevitarsis (white-spotted flower chafer) Larva,4
Design consideration to achieve wide-speed-range operation in a switched reluctance motor,5
Uncertainty analysis of monthly precipitation in GCMs using multiple bias correction methods under different RCPs,1
A power flow control strategy for hybrid control architecture of dc microgrid under unreliable grid connection considering electricity price constraint,5
A new text classification model based on contrastive word embedding for detecting cybersecurity intelligence in twitter,14
Section design of a hydroponic cultivation vessel using topology optimization,5
Decision-making of LID-BMPs for adaptive water management at the boise river watershed in a changing global environment,1
Optimal dummy pattern design method for PWB warpage control using the human-based genetic algorithm,3
A Novel Average Torque Control of Switched Reluctance Motor Based on Flux-Current Locus Control,5
Wind power generation prediction based on weather forecast data using deep neural networks,9
Geometric case based reasoning for stock market prediction,9
Tourist attraction and points of interest (POIs) using search engine data: Case of seoul,12
A study of waterproof reinforcement layers for the post-cracking behavior of fiber reinforced concrete,8
An integrated method for identifying present status and risk of drought in Bangladesh,1
Fuel injection characteristic measurements under a transient injector driving condition using an injector driving algorithm,5
An acridine-based fluorescent sensor for monitoring clo in water samples and zebrafish,12
Projection of Potential Evapotranspiration for North Korea Based on Selected GCMs by TOPSIS,1
Automated classification of patents: A topic modeling approach,14
Urban Flooding in the Northern Part of Kabul City: Causes and Mitigation,1
A Study on the Effects of Specimen Geometry on Measurement Accuracy of Dynamic Constitutive Properties of Metals Using SHTB,8
An Assessment and Planning Methodology for University-Based: Entrepreneurship Ecosystems,12
What do we know about public acceptance of designating marine protected area? The case of Jaran Bay in South Korea,12
Numerical simulation of crack propagation in shell structures using interface shell elements,8
A deep learning-based IoT-oriented infrastructure for secure smart City,10
High seebeck coefficient thermo-electrochemical cell using nickel hollow microspheres electrodes,4
Centrifuge modeling of disconnected piled raft using vertical pushover tests,8
Frequency Adaptive Grid Voltage Sensorless Control of LCL-Filtered Inverter Based on Extended Model Observer,5
Novel method for the fast measurement of the three-dimensional range of the eyebox of a VR device,6
BlockIoTIntelligence: A Blockchain-enabled Intelligent IoT Architecture with Artificial Intelligence,10
Effect of axial ligand on the performance of hemin based catalysts and their use for fuel cells,2
Atomic-layer-deposited SnO2on Pt/C prevents sintering of Pt nanoparticles and affects the reaction chemistry for the electrocatalytic glycerol oxidation reaction,2
Colloidal quantum dot hybrids: An emerging class of materials for ambient lighting,7
Kinetic and thermodynamic studies of cinnamycin specific-adsorption on PE-Included-Membranes using surface plasmon resonance,2
Effects of process parameters on Cu-nanoparticle synthesis in tetraethylene glycol through microwave irradiation,2
Second-order effective energy-momentum tensor of gravitational scalar perturbations with perfect fluid,3
A Gradient-Aware Line Sampling Algorithm for LiDAR Scanners,13
Capacitor Loaded Dual-band Flexible Antenna for ISM Band Applications,6
Compact Flexible Frequency Reconfigurable Antenna for Heterogeneous Applications,12
Evaluation of basic properties of cement asphalt mortar depending on sand gradation and cement fineness,8
Effects of aronia (aronia melanocarpa) on the sensory and microbiological properties of nabak kimchi during fermentation,12
A Compact multiband multi-mode frequency reconfigurable antenna for portable devices,6
Electrically Small Frequency Reconfigurable Antenna for Heterogeneous Applications,6
Improving the stability of lycopene from chemical degradation in model beverage emulsions: Impact of hydrophilic group size of emulsifier and antioxidant polarity,12
"Future trends of iot, 5G mobile networks, and AI: Challenges, opportunities, and solutions",10
A comprehensive analyses of intrusion detection system for IoT environment,10
"The fruit of acanthopanax senticosus harms improves arterial stiffness and blood pressure: A randomized, placebo-controlled trial",11
Design of an enhanced web archiving system for preserving content integrity with blockchain,10
Experimental study of vacuum grout injection method for post-tensioned prestressed concrete structures,8
Development of a fuzzy-function-based performance indicator for water distribution system's emergency condition,9
Ultimate compressive strength of stiffened panel: An empirical formulation for flat-bar type,8
Blockchain-based cyber threat intelligence system architecture for sustainable computing,10
High Optical Visibility and Shielding Effectiveness Metal Mesh Film for Microwave Oven Application,6
Machine learning-based network sub-slicing framework in a sustainable 5G environment,10
Inhibition of droplet growth in model beverage emulsions stabilized using poly (ethylene glycol) alkyl ether surfactants having various hydrophilic head sizes: Impact of ester gum,12
Plane Dependent Subject-Specific Neuromuscular Training for Knee Rehabilitation,0
Economic effects of individual heating system and district heating system in South Korea: An input-output analysis,9
Anti-inflammatory properties of mineral-balanced deep sea water in in-vitro and in-vivo models of inflamed intestinal epithelium,11
Distributed cell clustering based on multi-layer message passing for downlink joint processing coordinated multipoint transmission,3
Scalable and high-throughput top-down manufacturing of optical metasurfaces,7
Boosting Ultrafast Lithium Storage Capability of Hierarchical Core/Shell Constructed Carbon Nanofiber/3D Interconnected Hybrid Network with Nanocarbon and FTO Nanoparticle Heterostructures,2
GCM selection and temperature projection of Nigeria under different RCPs of the CMIP5 GCMS,1
Experimental and numerical investigations of spatially-varying dispersion tensors based on vertical velocity profile and depth-averaged flow field,3
A pyrene-mercapto-based probe for detecting Ag+ by fluorescence turn-on,12
Data on the current-voltage dependents of nickel hollow microspheres based thermo-electrochemical in alkaline electrolyte,4
Study on the Formability of Magnesium Alloy Sheets in the Incremental Forming Process with External Heating Sources,3
Uncertainty-based Object Detector for Autonomous Driving Embedded Platforms,13
Organometallic redox flow batteries using iron triethanolamine and cobalt triethanolamine complexes,2
3D printable and injectable lactoferrin-loaded carboxymethyl cellulose-glycol chitosan hydrogels for tissue engineering applications,0
Blockchain and federated learning-based distributed computing defence framework for sustainable society,10
"Highly efficient photocatalytic methylene blue degradation over Sn(O,S)/TiO2 photocatalyst fabricated via powder atomic layer deposition of SnO and subsequent sulfurization",4
Rare-earth ions integrated silica nanoparticles derived from rice husk via microwave-assisted combustion method for bioimaging applications,2
Phase transformation of NiCo hydroxides derived from carbonate anion and its effect on electrochemical pseudocapacitor performance,2
On the oxygen vacancies optimization through Pr co-doping of ceria-based electrolytes for electrolyte-supported solid oxide fuel cells,4
Membraneless biofuel cells using new cathodic catalyst including hemin bonded with amine functionalized carbon nanotube and glucose oxidase sandwiched by poly(dimethyl-diallylammonium chloride),2
Amylosucrase-modified waxy potato starches recrystallized with amylose: The role of amylopectin chain length in formation of low-digestible fractions,11
A Miniaturized UWB Antenna for Flexible Electronics,6
Bottom-line mechanism of organochlorine pesticides on mitochondria dysfunction linked with type 2 diabetes,11
"Physical activity, health and well-being in an imposed social distanced world",12
BIM-based preliminary estimation method considering the life cycle cost for decision-making in the early design phase,9
"Sociocultural influences, drive for thinness, drive for muscularity, and body dissatisfaction among Korean undergraduates",14
The Winning Probability of a Game and the Importance of Points in Tennis Matches,12
Response correction factor of load carrying capacity on railway bridge using test/commercially operating train,5
Evaluation of debonding at interface between TCL and HSB in railway concrete slabs using multi-channel IE testing,6
Variations in the impact strength of material extrusion-type 3d printed specimens depending on tool path and building direction,7
Prediction of static modulus and compressive strength of concrete from dynamic modulus associated with wave velocity and resonance frequency using machine learning techniques,8
Recent advances in the characterization and the treatment methods of effluent organic matter,2
LÎ¼-L effects to quarks and leptons from flavor unification,12
Development of motion platform-based exercise equipment for rehabilitation training and posture balance,12
Performance Study for Random Access-Based Wireless Mutual Broadcast Networks with Ginibre Point Processes,3
Hybrid forecasting models based on the neural networks for the volatility of bitcoin,3
Effect of Normal Forces on the Electrical Endurance of Tin-Plated Contacts under Elevated Temperature Fretting Conditions,4
Effect of oxygen source on the various properties of SnO2 thin films deposited by plasma-enhanced atomic layer deposition,4
Intellino: Processor for embedded artificial intelligence,10
Performance of PMTs for the JSNS2experiment,12
Effect of damage evaluation method and cyclic hardening models on strain-based fatigue assessment to a piping system under seismic loads,8
Improvements of design for safety in construction through multi-participants perception analysis,9
An input-output analysis of the economic role and effects of the mining industry in South Korea,9
Estimation of tensile strain capacity for thin-walled API X70 pipeline with corrosion defects using the fracture strain criteria,8
Comparison of Synthetic Neuronal Model Membrane Mimics in Amyloid Aggregation at Atomic Resolution,0
Collagen extract derived from yeonsan ogye chicken increases bone microarchitecture by suppressing the RANKL/OPG ratio via the JNK signaling pathway,11
"Removal of 1,4-naphthoquinone by birnessite-catalyzed oxidation: Effect of phenolic mediators and the reaction pathway",2
Acoustofluidic microdevice for precise control of pressure nodal positions,7
Investigation on the effect of density ratio on the convergence behavior of partitioned method for fluid_tructure interaction simulation,3
A miniaturized wideband and multi-band on-demand reconfigurable antenna for compact and portable devices,6
Docking assessment algorithm for autonomous underwater vehicles,6
Effects of Weather and Calendar Events on Mode-Choice Behaviors for Public Transportation,9
Public perspectives on reducing the environmental impact of onshore wind farms: a discrete choice experiment in South Korea,9
Stress-constrained shape and topology optimization with the level set method using trimmed hexahedral meshes,5
Divergence of potential evapotranspiration trends over Pakistan during 19672016,1
Blockchain technology toward green IoT: Opportunities and challenges,10
Waiting Time Minimized Charging and Discharging Strategy Based on Mobile Edge Computing Supported by Software-Defined Network,5
Distributed denial of service attacks and its defenses in IoT: a survey,10
Microwave-assisted continuous-flow synthesis of mixed-ligand UiO-66(Zr) frameworks and their application to toluene adsorption,2
Facile fabrication of polyaniline films with hierarchical porous networks for enhanced electrochemical activity,4
Development of an intelligent information index model for local government in South Korea,9
Can people with disabilities use the mobile Internet if they want to?,14
Nucleation and growth behavior of aluminum nitride film using thermal atomic layer deposition,7
Relationship between alcohol consumption and drinking refusal self-efficacy among university students: The roles of sports type and gender,14
Convection and the Extracellular Matrix Dictate Inter- And Intra-Biofilm Quorum Sensing Communication in Environmental Systems,11
Robust transferrable superhydrophobic surfaces,7
Symmetry-adapted machine learning for information security,10
"Posture Stabilization of Quadruped Walking Robot, PongBot with Disturbances",5
Estimation of the liability risk for release of chemicals at chemical plant,9
Effects of two-step plasma treatment on Cu and SiO2 surfaces for 3D bonding applications,7
Development of CMOS-Compatible Low Temperature Cu Bonding Optimized by the Response Surface Methodology,7
Yielding behavior and strain aging properties of bake hardening steel with dual-phase microstructure,4
Fabrication and properties of densified tungsten by magnetic pulse compaction and spark plasma sintering,4
"Advanced in algorithms, security, and systems for ICT convergence",10
Optimization design of penetrator geometry using artificial neural network and genetic algorithm,3
Lightweight design of a sledge frame for para ice hockey using design for additive manufacturing,8
Households' willingness to pay for substituting natural gas with renewable methane: A contingent valuation experiment in south korea,9
Can both the economic value and energy performance of small-and mid-sized buildings be satisfied? Development of a design expert system in the context of Korea,9
"Soft materials for wearable/flexible electrochemical energy conversion, storage, and biosensor devices",4
Adaptive Perturbation-Aided Opportunistic Hybrid Beamforming for mmWave Systems,3
Deep Learning-Aided Tabu Search Detection for Large MIMO Systems,3
Endpoint resummation in squark decays,5
Toward high recovery and selective leaching of zinc from electric arc furnace dust with different physicochemical properties,2
Economic analysis of integrated ground source heat pumps on a shared ground loop,9
Carbon-Doped WO3 Nanostructure Based on CNT Sacrificial Template and its Application to Highly Sensitive NO2 Sensor,2
Data transmission direction based routing algorithm for improving network performance of iot systems,3
What value does the public put on managing and protecting an endangered marine species? The case of the finless porpoise in South Korea,12
A novel procedure of total organic carbon analysis for water samples containing suspended solids with alkaline extraction and homogeneity evaluation by turbidity,2
"Assessment of physicochemical quality, antioxidant content and activity, and inhibition of cholinesterase between unripe and ripe blueberry fruit",12
Robust Model Predictive Speed Control of Induction Motors Using a Constrained Disturbance Observer,5
Soft electromagnetic actuator for assembly robots,6
