Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Lee J.-M., Han J.-J., Song Y.-B., Ham J.-H., Kim H.-K., Hwang B.","57194004139;57204472060;57195237425;23976293500;56880460600;7201454023;","Microstructure and mechanical properties of the high-hardness armor steels [고경도 철계 장갑재의 미세조직과 기계적 특성 분석]",2018,"Korean Journal of Materials Research","28","8",,"459","465",,1,"10.3740/MRSK.2018.28.8.459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055694567&doi=10.3740%2fMRSK.2018.28.8.459&partnerID=40&md5=71e9893fca504620c225a7f931003635","Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; The 4th R&D Institute, Agency for Defense Development, Daejeon, 34060, South Korea","Lee, J.-M., Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Han, J.-J., Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Song, Y.-B., The 4th R&D Institute, Agency for Defense Development, Daejeon, 34060, South Korea; Ham, J.-H., The 4th R&D Institute, Agency for Defense Development, Daejeon, 34060, South Korea; Kim, H.-K., The 4th R&D Institute, Agency for Defense Development, Daejeon, 34060, South Korea; Hwang, B., Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea","This paper presents a study of the microstructure and mechanical properties of commercial high-hardness armor (HHA) steels tempered at different temperatures. Although the as-received specimens of all the steels exhibit a tempered martensite structure with lath type morphology, the A steel, which has the smallest carbon content, had the lowest hardness due to reduced solid solution hardening and larger lath thickness, irrespective of tempering conditions. As the tempering temperature increases, the hardness of the steels steadily decreases because dislocation density decreases and the lath thickness of martensite increases due to recovery and over-aging effects. When the variations in hardness plotted as a function of tempering temperature are compared with the hardness of the as-received specimens, it seems that the B steel, which has the highest yield and tensile strengths, is fabricated by quenching, while the other steels are fabricated by quenching and tempering. On the other hand, the impact properties of the steels are affected by specimen orientation and test temperature as well as microstructure. Based on these results, the effect of tempering on the microstructure and mechanical properties of commercial high-hardness armor steels is discussed. © Materials Research Society of Korea.","High-hardness armor; Impact toughness; Mechanical properties; Microstructure; Steels","Armor; Fracture toughness; Hardness; Martensite; Microstructure; Quenching; Steel; Tempering; Tensile strength; Toughness; Dislocation densities; High hardness; Microstructure and mechanical properties; Quenching and tempering; Solid solution hardening; Tempering conditions; Tempering temperature; Yield and tensile strength; Mechanical properties",Article,"Final","",Scopus,2-s2.0-85055694567
"Chae J.S., Park J., So W.-Y.","57204447694;55358577200;35794795100;","Ranking prediction model using the competition record of ladies professional golf association players",2018,"Journal of Strength and Conditioning Research","32","8",,"2363","2374",,1,"10.1519/jsc.0000000000002018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055614469&doi=10.1519%2fjsc.0000000000002018&partnerID=40&md5=f6ed63ac04f75952484c0b8c2f8fddc5","Measurement and Evaluation in Physical Education and Sports Science, Seoul National University of Science and Technology, Seoul, South Korea; Department of Human Movement Science, Seoul Women’s University, Seoul, South Korea; College of Humanities and Arts, Korea National University of Transportation, Chungju-si, South Korea","Chae, J.S., Measurement and Evaluation in Physical Education and Sports Science, Seoul National University of Science and Technology, Seoul, South Korea; Park, J., Department of Human Movement Science, Seoul Women’s University, Seoul, South Korea; So, W.-Y., College of Humanities and Arts, Korea National University of Transportation, Chungju-si, South Korea","The purpose of this study was to suggest a ranking prediction model using the competition record of the Ladies Professional Golf Association (LPGA) players. The top 100 players on the tour money list from the 2013–2016 US Open were analyzed in this model. Stepwise regression analysis was conducted to examine the effect of performance and independent variables (i.e., driving accuracy, green in regulation, putts per round, driving distance, percentage of sand saves, par-3 average, par-4 average, par-5 average, birdies average, and eagle average) on dependent variables (i.e., scoring average, official money, top-10 finishes, winning percentage, and 60-strokes average). The following prediction model was suggested: Y(Scoring average) = 55.871-0.947(Birdies average) + 4.576(Par-4 average)-0.028(Green in regulation) -0.012(Percentage of sand saves) + 2.088(Par-3 average)-0:026(Driving accuracy) -0.017(Driving distance) + 0.085(Putts per round) Y(Official money) = 6, 628.736.723 + 528, 557.907(Birdies average) -1, 831, 800.821(Par-4 average) + 11, 681.739(Green in regulation) + 6, 476.344(Percentage of sand saves) -688, 115.074(Par-3 average) + 7, 375.971(Driving accuracy) Y(Top-10 finish%) = 204.462 + 12.562(Birdies average) 247.745(Par-4 average) + 1.633(Green in regulation) 25.151(Putts per round) + 0.132(Percentage of sand saves) Y(Winning percentage) = 49.949 + 3.191(Birdies average) -15.023(Par-4 average) + 0.043(Percentage of sand saves) Y(60-strokes average) = 217.649 + 13.978(Birdies average) 244.855(Par-4 average)-22.433(Par-3 average) + 0.16(Green in regulation) Scoring of the above 5 prediction models and the prediction of golf ranking in the 2016 Women’s Golf Olympic competition in Rio revealed a significant correlation between the predicted and real ranking (r = 0.689, p < 0.001) and between the predicted and the real average score (r = 0.653, p < 0.001). Our ranking prediction model using LPGA data may help coaches and players to identify which players are likely to participate in Olympic and World competitions, based on their performance. © 2018 National Strength and Conditioning Association.","Official money; Performance variable; Top 10; Winning percentage","adult; athletic performance; female; forecasting; golf; human; middle aged; procedures; regression analysis; statistics and numerical data; young adult; Adult; Athletic Performance; Female; Forecasting; Golf; Humans; Middle Aged; Regression Analysis; Young Adult",Article,"Final","",Scopus,2-s2.0-85055614469
"Oh J.H., Lee C.N.","36140723100;57203055998;","Relative RPCs bias-compensation for satellite stereo images processing",2018,"Journal of the Korean Society of Surveying, Geodesy, Photogrammetry and Cartography","36","4",,"287","293",,8,"10.7848/ksgpc.2018.36.4.287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054953388&doi=10.7848%2fksgpc.2018.36.4.287&partnerID=40&md5=f616a0487e3b54160c599481ac3f7097","Dept. of Civil Engineering, Korea Maritime and Ocean University, South Korea; Dept. of Civil Engineering, Seoul National University of Science and Technology, South Korea","Oh, J.H., Dept. of Civil Engineering, Korea Maritime and Ocean University, South Korea; Lee, C.N., Dept. of Civil Engineering, Seoul National University of Science and Technology, South Korea","It is prerequisite to generate epipolar resampled images by reducing the y-parallax for accurate and efficient processing of satellite stereo images. Minimizing y-parallax requires the accurate sensor modeling that is carried out with ground control points. However, the approach is not feasible over inaccessible areas where control points cannot be easily acquired. For the case, a relative orientation can be utilized only with conjugate points, but its accuracy for satellite sensor should be studied because the sensor has different geometry compared to well-known frame type cameras. Therefore, we carried out the bias-compensation of RPCs (Rational Polynomial Coefficients) without any ground control points to study its precision and effects on the y-parallax in epipolar resampled images. The conjugate points were generated with stereo image matching with outlier removals. RPCs compensation was performed based on the affine and polynomial models. We analyzed the reprojection error of the compensated RPCs and the y-parallax in the resampled images. Experimental result showed one-pixel level of y-parallax for Kompsat-3 stereo data. © 2018 Korean Society of Surveying. All Rights Reserved.","Bias-compensation; Relative Orientation; RPCs; Satellite Image; Stereo",,Article,"Final","",Scopus,2-s2.0-85054953388
"Ko B., Yi E.","57204148650;57217556898;","A study on the application design problem and solution of Korean government symbol mark [대한민국 정부상징문양의 활용상 문제점과 디자인 개선 방향]",2018,"Archives of Design Research","31","3",,"133","148",,,"10.15187/adr.2018.08.31.3.133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054666578&doi=10.15187%2fadr.2018.08.31.3.133&partnerID=40&md5=68c4d8079999d0e7e5ad1ea372cd0cdb","Department of Visual Design, Seoul National University of Science and Technolgoy, Seoul, South Korea; Department of Design, Seoul National University of Science and Technolgoy, Seoul, South Korea","Ko, B., Department of Visual Design, Seoul National University of Science and Technolgoy, Seoul, South Korea; Yi, E., Department of Design, Seoul National University of Science and Technolgoy, Seoul, South Korea","Background In recognition of the strong relationship between governmental identity and national image, countries have the impetus to develop their governmental identity. In 2016, upon the Republic of Korea's 70th anniversary of liberation, its government decided to have all governmental agencies use a new government symbol, ""Tae-geuk."" However, issues arose since each government agency used the symbol in a different way or perverted it. Therefore, this research sought to find a way to address the problems centered around the government symbol and suggest improvements. Methods An investigation of application through an on-the-spot, Web/Mobile, and internet investigation was executed for 960 government institutions that had applied the government symbol. Materials from the investigation of application were analyzed, problems were identified, and an improvement point was drawn after a comparison with foreign, advanced cases. Then, a modified design was proposed. Results The analysis results identified problems such as the distortion of the government symbol's shape, the distortion of the government symbol's spatial orientation, the exposure of the background color, the error of application in the use of a solid color gradation and solid color, the distortion of the border line's shape, and a invasion of clear space were found. It was found that the form of the governmental symbol needs to have ""vertical and horizontal clarity"" and a ""closed shape."" Conclusions It was suggested to use an intervening element as a design improvement direction of the government's symbolic mark to have ""clarity of verticality and horizontality,"" a ""closed shape,"" or close the opened part of the symbolic mark, and use the clear space of the white border line shape or white rectangle as the default. It was found that the greatest suggestion for improvement was to use the clear space of the white rectangle. The government's symbolic mark is used by a vast number of subordinate agencies. Thus, such agencies ought to exhibit uniformity in the usage of the symbolic mark through effortless application. This research is expected to be utilized as the standard for the identity development of institutions having a similar structure. © 2018, Korean Society of Design Science.연구배경 정부의 아이덴티티가 국가의 이미지와 강하게 결부된다는 인식 아래 세계의 많은 국가들은 정부 아 이덴티티 수립에 박차를 가하고 있다. 대한민국정부 역시 광복 70주년을 계기로 각 정부기관이 개별적으로 사용 하고 있던 상징체계를 하나의 체계로 통합하여 2016년부터 태극을 활용한 새로운 정부상징체계를 사용하고 있 다. 하지만 시행 이후 기관 별로 정부상징문양을 각기 다른 형태로 사용하거나 왜곡시키고 있어 통일성과 보편적 인 활용에 문제를 드러내고 있다. 이에 본 연구는 정부상징체계를 유지하면서 문제점을 개선할 수 있는 방법을 모색하고 개선점을 제시하였다. 연구방법 정부상징이 적용된 960개 기관에 대하여 현장 조사와 웹/모바일 조사, 인터넷 조사를 실시하여 적 용현황 조사를 실시하였다. 적용현황 조사에서 수집된 자료들을 조사·분석하여 문제점을 도출하고 해외선진사 례와 비교하여 개선점을 도출하였다. 그리고 도출된 이슈를 통해 수정된 디자인을 제시하였다. 연구결과 정부상징문양 활용상의 문제점을 분석한 결과. 첫째, 정부상징문양 형태의 왜곡. 둘째, 정부상징문 양 방향의 왜곡. 셋째, 배경색의 노출. 넷째, 단색 계조 및 단색 응용형 사용의 오류. 다섯째, 테두리형의 왜곡. 여 섯째, 보호공간의 훼손과 같은 문제점들이 발견되었으며 정부상징의 형태는 '수직·수평의 명확성', '폐쇄적 형 태'를 가질 필요가 있다는 결론을 도출하였다. 결론 '수직·수평의 명확성', '폐쇄적 형태'를 갖기 위한 정부상징문양의 디자인 개선 방향으로 보조요소 를 사용하거나, 상징문양의 개방된 부분을 닫는 방안, 그리고 흰색 테두리형 또는 흰색 사각형의 보호공간을 기 본형으로 사용하는 방안을 제시하였으며, 이 중 흰색 사각형의 보호공간을 기본형으로 사용하는 것이 제일 적절 한 개선안이라는 결론을 도출하였다. 정부상징문양은 다수의 하위기관을 갖는 구조로 되어 있으며 이런 구조를 갖는 기관의 아이덴티티는 손쉬운 적용으로 위상을 확립 및 유지할 필요가 있다. 본 연구가 이런 유사한 구조의 기관을 위한 아이덴티티 개발의 기준으로 활용될 수 있을 것으로 기대한다.","Government identity; Government Symbol Mark; Identity design; Identity system; Korean Government Symbol Mark; Symbolic Mark; 상징문양; 아이덴티티 디자인; 아이덴티티 체계; 정부 아이덴티티; 정부상징문양",,Article,"Final","",Scopus,2-s2.0-85054666578
"Son J., Yi E.","57204141338;57217556898;","A study on a warning pictogram system for the hearing-impaired - focusing on disaster and safety accident situations [청각장애인을 위한 긴급상황 경고 픽토그램 시스템 개발 연 구 - 재난 상황 및 안전사고 상황을 중심으로]",2018,"Archives of Design Research","31","3",,"151","163",,,"10.15187/adr.2018.08.31.3.151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054650352&doi=10.15187%2fadr.2018.08.31.3.151&partnerID=40&md5=5c994a0b72de4b64df0548ab1f98cc3f","Department of Visual Design, Graduate School, Seoul National University of Science and Technology, Seoul, South Korea; Department of Visual Design, Seoul National University of Science and Technology, Seoul, South Korea","Son, J., Department of Visual Design, Graduate School, Seoul National University of Science and Technology, Seoul, South Korea; Yi, E., Department of Visual Design, Seoul National University of Science and Technology, Seoul, South Korea","Background The purpose of the research is to provide insights into developing an Emergency Pictogram System for Hearing-impaired people that can be used instantly in emergency situations. Unlike most emergency systems, which were based on only sound, emergency pictogram systems provide warning messages that consists of a combination of visual information, vibration, and flashing lights. Methods The research was carried out by investigating incidents that deaf people had experienced during emergency situations. A survey was conducted on 10 hearing-impaired students in order to discuss the problems and solutions for the inconvenience that had occurred while communicating warning messages in urgent situations. Based on the results from the survey, warning message system models were been formed by combining pictograms, various effects and a wearable device. In order to select the most effective model, the investigation was conducted with the help of five hearing-impaired volunteers. Results The results from the survey and analysis showed that the main reason that the heraing-impaired people could not receive the emergency information immediately was because most it was delivered through sound. In addition, it was found that hearing-impaired people were mostly dependent on smart-devices such as mobile phones' vibration functions in emergency situations. Therefore, a new warning message was developed by using a mixture of pictograms, flashing lights and vibration. Conclusions The purpose of developing a pictogram emergency system was to provide additional functions such as smart-devices for hearing-impaired people who have only been acquiring sound systems. The development of a pictogram emergency system will be helpful for hearing-impaired people in emergency situations by providing features that are effective and practical in real-life. © 2018, Korean Society of Design Science.연구배경 본 연구는 청각장애인이 급박한 재난 및 안전사고 상황 발생 시 즉각적으로 인지할 수 있는 긴급 경 고용 픽토그램 시스템 개발을 목적으로 한다. 대부분의 긴급 경고는 청각 수단 중심으로 되어있기 때문에 이를 확인하기 힘든 청각장애인이 긴급 경고를 효과적으로 인지할 수 있도록 픽토그램을 활용한 시각정보와 진동, 점 멸 효과를 결합한 복합적인 경고 메시지 구성 방안을 제시한다. 연구방법 먼저 연구의 대상인 청각장애인의 의사소통 방법 및 소통 문제, 긴급 및 재난 상황에서의 사고 사례 에 대하여 조사하였다. 관련 사례에 근거하여 경고 전달 과정의 문제점 및 해결방안에 대하여 고찰하였으며 이를 토대로 하여 실제 농아인 학생 10명을 대상으로 의사소통 및 긴급 경고에 관한 기초 설문을 진행하였다. 설문 결 과에 근거하여 픽토그램과 복합적 기능을 조합한 경고 메시지 시스템을 시계 형태의 웨어러블 디바이스에 적용 하였으며 효과적인 모형을 선별하기 위해 5인의 농아인과 함께 연구 검증을 시행하였다. 연구결과 설문 및 분석 결과, 청각장애인이 즉시 정보를 전달받지 못하는 이유는 대부분의 긴급정보가 소리였 기 때문임을 알 수 있었다. 또한, 청각장애인은 긴급 상황 발생 시 스마트 디바이스 등의 모바일 기기와 진동 기 능에 대한 의존도가 상당히 높은 것으로 확인되었다. 이에 따라 시각기호인 픽토그램과 점멸, 진동 기능을 결합 한 경고 메시지를 개발하였다. 결론 본 픽토그램 개발연구는 일반적인 상황 및 긴급 상황의 정보 체계로부터 소외된 청각장애인을 위하 여 스마트 디바이스를 결합한 긴급 경고 시스템을 개발 및 연구하였다는 것에 의의가 있다. 복합적인 형태의 픽 토그램 시스템 개발은 청각장애인들에게 효과적이고 유용한 긴급 경고 수단이 될 것으로 기대한다.","Disaster; Emergency; Hearing-impaired; Pictogram; Sign; Symbol; Wearable device; 긴급; 사인; 심볼; 웨어러블 디바이스; 재난; 청각장애인; 픽토그램",,Article,"Final","",Scopus,2-s2.0-85054650352
"Jin S., Lee J.","57200149323;27171996400;","Study on platform railway safety accident severity using structural equation model",2018,"Journal of the Korean Society for Railway","21","7",,"657","670",,,"10.7782/JKSR.2018.21.7.657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054543756&doi=10.7782%2fJKSR.2018.21.7.657&partnerID=40&md5=cea056128414ff94e1c59d425dfea79e","Department of Railway Electrical and Signaling Engineering, Graduate School of Railway, Seoul National University of Science and Technology, 232 Gongreungro, Nowon-gu, Seoul, 139-743, South Korea","Jin, S., Department of Railway Electrical and Signaling Engineering, Graduate School of Railway, Seoul National University of Science and Technology, 232 Gongreungro, Nowon-gu, Seoul, 139-743, South Korea; Lee, J., Department of Railway Electrical and Signaling Engineering, Graduate School of Railway, Seoul National University of Science and Technology, 232 Gongreungro, Nowon-gu, Seoul, 139-743, South Korea","In order to reduce railway safety accidents and ensure the safety of passengers, a method for predicting railway accidents has been continuously developed by analyzing factors affecting accidents. The problem of prevention and reduction of safety accidents of passengers is an important task for the railway administration. In this paper, we analyze the factors affecting jamming accidents involving passenger bodies, belongings, electric wheelchairs, baby strollers, etc., which occurred during movement process of train doors and Platform Screen Doors (PSD) during embarkation and disembarkation from train. In this study, using the structural equations model(SEM), a data-mining technique was developed to identify a causal relationship between exogenous and endogenous variables. The results show that environmental and behavioral factors are related to the accident severity platform Railway Safety accident model. © 2018 The Korean Society for Railway. All rights reserved.","Accident severity analyse; Exogenous & Endogenous variables; Railway safety accident; SEM",,Article,"Final","",Scopus,2-s2.0-85054543756
"Kim S., Sung D., Kang Y., Park Y.","57204103603;57195549229;57200144004;25638921500;","Fracture mode analysis according to inclination angle of rail internal crack",2018,"Journal of the Korean Society for Railway","21","7",,"671","678",,,"10.7782/JKSR.2018.21.7.671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054536323&doi=10.7782%2fJKSR.2018.21.7.671&partnerID=40&md5=c0217bef57ef651a5166bf757e1e6bb9","Department of Railway Construction, Graduate School of Railway, Seoul National University of Science and Technology, 232, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Department of Civil and Railroad Engineering, Daewon University College, 316, Daehak-ro, Jecheon, Chungbuk, 27135, South Korea","Kim, S., Department of Railway Construction, Graduate School of Railway, Seoul National University of Science and Technology, 232, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Sung, D., Department of Civil and Railroad Engineering, Daewon University College, 316, Daehak-ro, Jecheon, Chungbuk, 27135, South Korea; Kang, Y., Department of Railway Construction, Graduate School of Railway, Seoul National University of Science and Technology, 232, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Park, Y., Department of Railway Construction, Graduate School of Railway, Seoul National University of Science and Technology, 232, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","To ensure the safe running of trains, it is very important to predict the fatigue failure of rail subject to internal cracks. In order to predict crack propagation inside the rail, it is necessary to investigate the stress generated at the crack tip, and it is necessary to analyze the behavior of cracks that occur inside rails due to contact between wheel and rail. In this study, the fracture modes of subsurface cracks due to contact load between wheel and rail are analyzed using finite element analysis. The finite element analysis, which is used to simulate wheels and rails using 3-D solid elements and parameterized 2 mm subsurface cracks of rails with tilt angles (0°, 45°, 90°). Results obtained using the analytical model were confirmed as appropriate in comparison with results obtained by theoretical expression. As a result of the finite element analysis, the maximum stress due to contact between wheel and rail was found to be generated at a depth of about 5-7 mm from the rail surface. When there is a crack in a rail, the maximum stress occurs at the crack tip. As the crack inclination approaches the vertical direction, mode I and mode II types of cracking increase, and mode III cracking decreases. Therefore, in order to predict the subsurface crack propagation of a rail due to different fracture modes and depending on crack inclination angle, multi-axial fatigue analysis is required. © 2018 The Korean Society for Railway. All rights reserved.","Crack inclination angle; Finite element analysis; Fracture mechanics; Fracture mode; Rail internal crack",,Article,"Final","",Scopus,2-s2.0-85054536323
"Phuc T.S.D., Lee C.","57003174600;55700514400;","Cryptanalysis on SDDO-based BM123-64 designs suitable for various IoT application targets",2018,"Symmetry","10","8", 353,"","",,4,"10.3390/sym10080353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052511689&doi=10.3390%2fsym10080353&partnerID=40&md5=9686cdfc461f54e29f210f3298fd2f47","Department of Computer Science and Engineering, Seoul National University of Science and Technology, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","Phuc, T.S.D., Department of Computer Science and Engineering, Seoul National University of Science and Technology, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Lee, C., Department of Computer Science and Engineering, Seoul National University of Science and Technology, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","BM123-64 block cipher, which was proposed by Minh, N.H. and Bac, D.T. in 2014, was designed for high speed communication applications factors. It was constructed in hybrid controlled substitution-permutation network (CSPN) models with two types of basic controlled elements (CE) in distinctive designs. This cipher is based on switchable data-dependent operations (SDDO) and covers dependent-operations suitable for efficient primitive approaches for cipher constructions that can generate key schedule in a simple way. The BM123-64 cipher has advantages including high applicability, flexibility, and portability with different algorithm selection for various application targets with internet of things (IoT) as well as secure protection against common types of attacks, for instance, differential attacks and linear attacks. However, in this paper, we propose methods to possibly exploit the BM123-64 structure using related-key attacks. We have constructed a high probability related-key differential characteristics (DCs) on a full eight rounds of BM123-64 cipher. The related-key amplified boomerang attack is then proposed on all three different cases of operation-specific designs with effective results in complexity of data and time consumptions. This study can be considered as the first cryptographic results on BM123-64 cipher. © 2018 by the authors.","BM123-64; Cryptanalysis; Hybrid controlled substitution-permutation network (CSPN); Related-key amplified boomerang attack; Switchable data-dependent operations (SDDOs)",,Article,"Final","",Scopus,2-s2.0-85052511689
"Kim H.S., Cha H.-K.","57193073064;14422204600;","An ultra low-power low-noise neural recording analog front-end IC for implantable devices",2018,"Journal of Semiconductor Technology and Science","18","4",,"454","460",,3,"10.5573/JSTS.2018.18.4.454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052396386&doi=10.5573%2fJSTS.2018.18.4.454&partnerID=40&md5=aae60d9d9ee3c9aff3900ab322f449cb","Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","Kim, H.S., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Cha, H.-K., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","In this paper, a low-power, low-noise analog front-end integrated circuit (AFE IC) for neural signal recording is designed using 0.18-μm CMOS process. The proposed circuit consists of a low noise neural amplifier and a programmable gain amplifier with additional gain and bandwidth control to process signals in the 1 Hz to several kHz frequency band. The capacitive-feedback neural amplifier is designed using a complementary cascode input operational transconductance amplifier (OTA) for improved noise characteristics. The programmable gain amplifier, also based on capacitive-feedback architecture with a current mirror OTA, allows control of high-pass cutoff frequencies from sub-1 Hz to 220 Hz and low-pass cutoff frequencies from 530 Hz to 8.9 kHz. In addition, capacitive feedback with programmable cross-coupled input capacitors allows gain control from 6 dB to 24 dB without distortion. An integrated input noise of 4.74 μVrms and noise efficiency factor of 2.91 are measured for the overall AFE IC at maximum gain setting. The IC consumes 2.28 μW of power from a 1-V supply and occupies 0.16 mm² of die area. © 2018, Institute of Electronics Engineers of Korea. All rights reserved.","Analog front-end; Capacitive-feedback; Neural recording amplifier; Programmable gain amplifier; Tunable filter","Cascode amplifiers; Cutoff frequency; Feedback amplifiers; High frequency amplifiers; Implants (surgical); Low power electronics; Neurophysiology; Operational amplifiers; Process control; Timing circuits; Analog front end; Capacitive feedback; Neural recordings; Programmable gain amplifier; Tunable filters; Feedback",Article,"Final","",Scopus,2-s2.0-85052396386
"Lim Y.-E., Park J.-H., Park K.","57195407135;57203537278;35386812400;","Automatic Design of 3D Conformal Lightweight Structures Based on a Tetrahedral Mesh",2018,"International Journal of Precision Engineering and Manufacturing - Green Technology","5","4",,"499","506",,13,"10.1007/s40684-018-0053-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052077164&doi=10.1007%2fs40684-018-0053-2&partnerID=40&md5=63266d0fbea526b616530a089c9747b5","Department of Mechanical System Design Engineering, Seoul National University of Science and Technology, 232, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","Lim, Y.-E., Department of Mechanical System Design Engineering, Seoul National University of Science and Technology, 232, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Park, J.-H., Department of Mechanical System Design Engineering, Seoul National University of Science and Technology, 232, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Park, K., Department of Mechanical System Design Engineering, Seoul National University of Science and Technology, 232, Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","Recent developments of additive manufacturing (AM) have extended its application to the direct fabrication of functional parts. Owing to design flexibility and complexity, design for AM (DFAM) has received increasing attention as a new design method that can overcome traditional manufacturing constraints, and has been applied to multi-components integration, multi-material parts, and lightweight structures. In this study, an automatic design methodology for conformal lightweight structures was developed based on a three-dimensional (3D) tetrahedral mesh. A numerical algorithm was developed to generate lightweight cellular structures via the following steps: (i) definition of a target solid; (ii) discretization of the target volume using a tetrahedral mesh; (iii) construction of a number of struts along the edges of every tetrahedral element; (iv) Boolean operation to unify the generated struts; and (v) preparation of output files for 3D printing and finite element analysis (FEA). This algorithm was then applied to generate conformal cellular structures with various shapes. Effects of lattice design parameters on the relevant density change were discussed. The designed cellular structures were then fabricated by AM, and their mechanical properties were evaluated by compression tests. The fabricated lightweight structures showed high specific stiffness and strength, and could support 10000 times heavier load than their own weight. © 2018, Korean Society for Precision Engineering.","3D printing; Additive manufacturing; Cellular structure; Design for additive manufacturing; Lightweight structure; Micro-lattice","3D printers; Cellular automata; Cellular manufacturing; Compression testing; High energy physics; Mesh generation; Struts; 3-D printing; Cellular structure; High specific stiffness; Micro-lattice; Numerical algorithms; Tetrahedral elements; Threedimensional (3-d); Traditional manufacturing; Design",Article,"Final","",Scopus,2-s2.0-85052077164
"Kim H., Cho Y., Kim D.-W., Kim D.H., Kim Y., Choi B.J.","35226451800;55260703800;57203350633;57226682584;57203418040;35182588700;","Electrical Properties of Au/n-GaN Schottky Junctions with an Atomic-Layer-Deposited Al2O3 Interlayer",2018,"Journal of the Korean Physical Society","73","3",,"349","354",,2,"10.3938/jkps.73.349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051629779&doi=10.3938%2fjkps.73.349&partnerID=40&md5=fa3273a4d3fe95ed19a11b09cf184811","Department of Visual Optics, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Department of Physics, Ewha Womans University, Seoul, 03760, South Korea; Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Kim, H., Department of Visual Optics, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Cho, Y., Department of Physics, Ewha Womans University, Seoul, 03760, South Korea; Kim, D.-W., Department of Physics, Ewha Womans University, Seoul, 03760, South Korea; Kim, D.H., Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Kim, Y., Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Choi, B.J., Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea","The temperature-dependent electrical properties of Au/GaN Schottky diodes with an Al2O3 layer prepared by using atomic layer deposition (ALD) were investigated. Compared to the Au/GaN junction, the Au/Al2O3/GaN junction was found to have lower barrier heights and higher ideality factors. For the Au/GaN junction, the native oxide and the thin surface barrier formed by surface states caused a large leakage current and a small capacitance. Due to surface passivation through the ALD process, the leakage current for the Au/Al2O3/GaN junction was reduced. The barrier height reduction for the Au/Al2O3/GaN junction was associated with interface dipole formation at the Al2O3/GaN interface. © 2018, The Korean Physical Society.","Atomic layer deposition; Barrier height; GaN; Surface states",,Article,"Final","",Scopus,2-s2.0-85051629779
